id,order_id,delivery_partner,delivery_status,delivery_distance_km,estimated_minutes,actual_minutes,delivery_charge,pickup_time,delivered_time,created_at,updated_at
25,74,Zomato,Delivered,9.26,41,39,14.65,2025-01-01 21:01:00,2025-01-01 21:30:00,2025-01-01 20:51:00,2025-01-01 21:30:00
26,77,Just Eat,Delivered,5.99,36,47,13.12,2025-01-01 19:35:00,2025-01-01 20:12:00,2025-01-01 19:25:00,2025-01-01 20:12:00
27,78,Just Eat,Delivered,11.04,60,64,25.33,2025-01-01 13:51:00,2025-01-01 14:45:00,2025-01-01 13:41:00,2025-01-01 14:45:00
28,91,Just Eat,Delivered,7.7,29,35,16.87,2025-01-01 21:25:00,2025-01-01 21:50:00,2025-01-01 21:15:00,2025-01-01 21:50:00
29,94,Deliveroo,Delivered,11.49,53,48,22.73,2025-01-01 13:35:00,2025-01-01 14:13:00,2025-01-01 13:25:00,2025-01-01 14:13:00
30,99,Zomato,Delivered,1.21,43,47,1.83,2025-01-01 19:42:00,2025-01-01 20:19:00,2025-01-01 19:32:00,2025-01-01 20:19:00
31,100,Uber Eats,Delivered,10.66,25,22,22.93,2025-01-01 19:40:00,2025-01-01 19:52:00,2025-01-01 19:30:00,2025-01-01 19:52:00
32,105,Deliveroo,Delivered,11.76,54,53,16.07,2025-01-01 14:23:00,2025-01-01 15:06:00,2025-01-01 14:13:00,2025-01-01 15:06:00
33,110,Just Eat,Delivered,11.42,30,33,21.54,2025-01-01 19:56:00,2025-01-01 20:19:00,2025-01-01 19:46:00,2025-01-01 20:19:00
34,112,In House,Delivered,5.65,33,45,12.33,2025-01-01 19:15:00,2025-01-01 19:50:00,2025-01-01 19:05:00,2025-01-01 19:50:00
35,115,In House,Delivered,3.21,39,46,8.0,2025-01-01 11:11:00,2025-01-01 11:47:00,2025-01-01 11:01:00,2025-01-01 11:47:00
36,116,Zomato,Delivered,5.11,53,62,6.94,2025-01-01 13:51:00,2025-01-01 14:43:00,2025-01-01 13:41:00,2025-01-01 14:43:00
37,119,Just Eat,Delivered,1.7,21,34,3.26,2025-01-01 12:33:00,2025-01-01 12:57:00,2025-01-01 12:23:00,2025-01-01 12:57:00
38,120,Uber Eats,Delivered,3.42,24,39,4.37,2025-01-01 12:29:00,2025-01-01 12:58:00,2025-01-01 12:19:00,2025-01-01 12:58:00
39,121,Swiggy,Delivered,10.96,41,38,20.48,2025-01-01 19:08:00,2025-01-01 19:36:00,2025-01-01 18:58:00,2025-01-01 19:36:00
40,123,Just Eat,Delivered,8.36,33,45,11.47,2025-01-01 20:04:00,2025-01-01 20:39:00,2025-01-01 19:54:00,2025-01-01 20:39:00
41,125,Zomato,Delivered,7.34,35,45,16.51,2025-01-01 10:51:00,2025-01-01 11:26:00,2025-01-01 10:41:00,2025-01-01 11:26:00
42,128,Deliveroo,Delivered,2.04,47,53,3.57,2025-01-01 20:59:00,2025-01-01 21:42:00,2025-01-01 20:49:00,2025-01-01 21:42:00
43,140,Uber Eats,Delivered,10.5,23,38,26.03,2025-01-01 14:56:00,2025-01-01 15:24:00,2025-01-01 14:46:00,2025-01-01 15:24:00
44,148,Zomato,Delivered,1.67,41,39,2.54,2025-01-01 19:48:00,2025-01-01 20:17:00,2025-01-01 19:38:00,2025-01-01 20:17:00
45,150,Deliveroo,Delivered,6.9,28,36,9.93,2025-01-01 18:49:00,2025-01-01 19:15:00,2025-01-01 18:39:00,2025-01-01 19:15:00
46,154,Just Eat,Delivered,3.75,24,33,8.44,2025-01-01 19:39:00,2025-01-01 20:02:00,2025-01-01 19:29:00,2025-01-01 20:02:00
47,156,Zomato,Delivered,2.08,54,49,5.12,2025-01-01 18:51:00,2025-01-01 19:30:00,2025-01-01 18:41:00,2025-01-01 19:30:00
48,160,Deliveroo,Delivered,2.83,51,61,4.18,2025-01-01 18:11:00,2025-01-01 19:02:00,2025-01-01 18:01:00,2025-01-01 19:02:00
49,166,Deliveroo,Delivered,10.93,30,37,13.15,2025-01-01 13:30:00,2025-01-01 13:57:00,2025-01-01 13:20:00,2025-01-01 13:57:00
50,169,In House,Delivered,3.92,49,53,6.86,2025-01-01 19:23:00,2025-01-01 20:06:00,2025-01-01 19:13:00,2025-01-01 20:06:00
51,170,Swiggy,Delivered,11.95,55,65,16.74,2025-01-01 14:54:00,2025-01-01 15:49:00,2025-01-01 14:44:00,2025-01-01 15:49:00
52,175,Uber Eats,Delivered,3.39,23,36,7.31,2025-01-01 18:34:00,2025-01-01 19:00:00,2025-01-01 18:24:00,2025-01-01 19:00:00
53,176,Just Eat,Delivered,9.23,23,19,18.09,2025-01-01 14:00:00,2025-01-01 14:09:00,2025-01-01 13:50:00,2025-01-01 14:09:00
54,177,Just Eat,Delivered,11.11,53,53,14.15,2025-01-01 19:02:00,2025-01-01 19:45:00,2025-01-01 18:52:00,2025-01-01 19:45:00
55,183,In House,Delivered,1.88,31,28,3.71,2025-01-01 10:42:00,2025-01-01 11:00:00,2025-01-01 10:32:00,2025-01-01 11:00:00
56,187,Just Eat,Delivered,10.48,45,43,25.4,2025-01-01 21:04:00,2025-01-01 21:37:00,2025-01-01 20:54:00,2025-01-01 21:37:00
57,191,Deliveroo,Delivered,3.71,58,54,7.44,2025-01-01 20:07:00,2025-01-01 20:51:00,2025-01-01 19:57:00,2025-01-01 20:51:00
58,194,Swiggy,Delivered,8.23,56,67,13.26,2025-01-01 20:49:00,2025-01-01 21:46:00,2025-01-01 20:39:00,2025-01-01 21:46:00
59,201,Zomato,Delivered,3.25,40,42,5.02,2025-01-01 18:53:00,2025-01-01 19:25:00,2025-01-01 18:43:00,2025-01-01 19:25:00
60,202,Uber Eats,Delivered,8.39,39,48,13.52,2025-01-01 20:03:00,2025-01-01 20:41:00,2025-01-01 19:53:00,2025-01-01 20:41:00
61,208,Uber Eats,Delivered,1.1,59,72,2.74,2025-01-01 21:03:00,2025-01-01 22:05:00,2025-01-01 20:53:00,2025-01-01 22:05:00
62,210,Swiggy,Delivered,6.91,52,55,9.48,2025-01-01 11:58:00,2025-01-01 12:43:00,2025-01-01 11:48:00,2025-01-01 12:43:00
63,216,Deliveroo,Delivered,10.69,35,41,16.79,2025-01-01 11:12:00,2025-01-01 11:43:00,2025-01-01 11:02:00,2025-01-01 11:43:00
64,219,In House,Delivered,10.17,39,53,25.21,2025-01-01 20:06:00,2025-01-01 20:49:00,2025-01-01 19:56:00,2025-01-01 20:49:00
65,221,Uber Eats,Delivered,6.82,55,59,16.44,2025-01-01 14:25:00,2025-01-01 15:14:00,2025-01-01 14:15:00,2025-01-01 15:14:00
66,227,Uber Eats,Delivered,11.33,28,31,15.3,2025-01-01 13:07:00,2025-01-01 13:28:00,2025-01-01 12:57:00,2025-01-01 13:28:00
67,241,Zomato,Delivered,9.17,29,32,14.36,2025-01-01 13:09:00,2025-01-01 13:31:00,2025-01-01 12:59:00,2025-01-01 13:31:00
68,242,Just Eat,Delivered,8.89,33,48,20.53,2025-01-01 11:16:00,2025-01-01 11:54:00,2025-01-01 11:06:00,2025-01-01 11:54:00
69,244,Swiggy,Delivered,6.37,23,20,12.9,2025-01-01 15:05:00,2025-01-01 15:15:00,2025-01-01 14:55:00,2025-01-01 15:15:00
70,246,Swiggy,Delivered,1.48,41,40,3.0,2025-01-01 18:19:00,2025-01-01 18:49:00,2025-01-01 18:09:00,2025-01-01 18:49:00
71,253,Just Eat,Delivered,2.78,48,60,5.89,2025-01-01 14:20:00,2025-01-01 15:10:00,2025-01-01 14:10:00,2025-01-01 15:10:00
72,256,Swiggy,Delivered,1.11,24,23,2.12,2025-01-01 14:38:00,2025-01-01 14:51:00,2025-01-01 14:28:00,2025-01-01 14:51:00
73,262,Swiggy,Delivered,7.41,29,37,10.12,2025-01-01 20:12:00,2025-01-01 20:39:00,2025-01-01 20:02:00,2025-01-01 20:39:00
74,268,Zomato,Delivered,5.01,22,28,7.38,2025-01-01 12:42:00,2025-01-01 13:00:00,2025-01-01 12:32:00,2025-01-01 13:00:00
75,270,Deliveroo,Delivered,8.34,42,54,19.59,2025-01-01 12:22:00,2025-01-01 13:06:00,2025-01-01 12:12:00,2025-01-01 13:06:00
76,272,Zomato,Delivered,11.71,29,31,27.21,2025-01-01 18:47:00,2025-01-01 19:08:00,2025-01-01 18:37:00,2025-01-01 19:08:00
77,275,Swiggy,Delivered,10.7,21,21,23.09,2025-01-01 13:38:00,2025-01-01 13:49:00,2025-01-01 13:28:00,2025-01-01 13:49:00
78,279,In House,Delivered,9.61,46,48,14.87,2025-01-01 21:38:00,2025-01-01 22:16:00,2025-01-01 21:28:00,2025-01-01 22:16:00
79,285,Deliveroo,Delivered,2.19,22,32,3.26,2025-01-01 18:19:00,2025-01-01 18:41:00,2025-01-01 18:09:00,2025-01-01 18:41:00
80,290,Zomato,Delivered,4.85,34,36,5.97,2025-01-01 13:59:00,2025-01-01 14:25:00,2025-01-01 13:49:00,2025-01-01 14:25:00
81,295,Swiggy,Delivered,5.38,37,34,13.22,2025-01-01 10:33:00,2025-01-01 10:57:00,2025-01-01 10:23:00,2025-01-01 10:57:00
82,298,Just Eat,Delivered,4.86,52,59,10.13,2025-01-01 21:38:00,2025-01-01 22:27:00,2025-01-01 21:28:00,2025-01-01 22:27:00
83,299,Swiggy,Delivered,4.64,21,19,10.86,2025-01-01 18:36:00,2025-01-01 18:45:00,2025-01-01 18:26:00,2025-01-01 18:45:00
84,300,Deliveroo,Delivered,2.96,36,32,3.97,2025-01-01 12:26:00,2025-01-01 12:48:00,2025-01-01 12:16:00,2025-01-01 12:48:00
85,302,Just Eat,Delivered,4.8,40,48,9.54,2025-01-01 19:27:00,2025-01-01 20:05:00,2025-01-01 19:17:00,2025-01-01 20:05:00
86,303,In House,Delivered,2.27,56,57,3.48,2025-01-01 12:08:00,2025-01-01 12:55:00,2025-01-01 11:58:00,2025-01-01 12:55:00
87,305,In House,Delivered,5.8,53,65,12.14,2025-01-01 21:33:00,2025-01-01 22:28:00,2025-01-01 21:23:00,2025-01-01 22:28:00
88,307,In House,Delivered,9.11,32,38,16.04,2025-01-01 14:03:00,2025-01-01 14:31:00,2025-01-01 13:53:00,2025-01-01 14:31:00
89,314,Uber Eats,Delivered,11.13,59,64,22.95,2025-01-01 19:43:00,2025-01-01 20:37:00,2025-01-01 19:33:00,2025-01-01 20:37:00
90,319,Deliveroo,Delivered,8.92,39,50,14.29,2025-01-01 13:31:00,2025-01-01 14:11:00,2025-01-01 13:21:00,2025-01-01 14:11:00
91,320,Deliveroo,Delivered,4.59,38,50,6.27,2025-01-01 19:54:00,2025-01-01 20:34:00,2025-01-01 19:44:00,2025-01-01 20:34:00
92,322,Swiggy,Delivered,8.31,44,44,16.62,2025-01-01 10:22:00,2025-01-01 10:56:00,2025-01-01 10:12:00,2025-01-01 10:56:00
93,324,Deliveroo,Delivered,5.47,20,24,8.6,2025-01-01 19:28:00,2025-01-01 19:42:00,2025-01-01 19:18:00,2025-01-01 19:42:00
94,325,Deliveroo,Delivered,9.64,58,73,15.61,2025-01-01 13:17:00,2025-01-01 14:20:00,2025-01-01 13:07:00,2025-01-01 14:20:00
95,327,In House,Delivered,5.86,33,44,10.64,2025-01-01 15:09:00,2025-01-01 15:43:00,2025-01-01 14:59:00,2025-01-01 15:43:00
96,338,In House,Delivered,2.87,25,29,5.37,2025-01-01 11:57:00,2025-01-01 12:16:00,2025-01-01 11:47:00,2025-01-01 12:16:00
97,341,Zomato,Delivered,7.81,25,27,16.2,2025-01-01 12:14:00,2025-01-01 12:31:00,2025-01-01 12:04:00,2025-01-01 12:31:00
98,345,Deliveroo,Delivered,9.87,29,24,12.44,2025-01-01 11:22:00,2025-01-01 11:36:00,2025-01-01 11:12:00,2025-01-01 11:36:00
99,346,In House,Delivered,7.72,24,33,13.42,2025-01-01 09:45:00,2025-01-01 10:08:00,2025-01-01 09:35:00,2025-01-01 10:08:00
100,348,Zomato,Delivered,7.33,44,54,12.6,2025-01-01 21:56:00,2025-01-01 22:40:00,2025-01-01 21:46:00,2025-01-01 22:40:00
101,350,Zomato,Delivered,8.22,20,18,18.18,2025-01-01 14:53:00,2025-01-01 15:01:00,2025-01-01 14:43:00,2025-01-01 15:01:00
102,353,Zomato,Delivered,2.93,53,62,3.71,2025-01-01 13:09:00,2025-01-01 14:01:00,2025-01-01 12:59:00,2025-01-01 14:01:00
103,357,Deliveroo,Delivered,11.09,27,36,15.23,2025-01-01 19:07:00,2025-01-01 19:33:00,2025-01-01 18:57:00,2025-01-01 19:33:00
104,366,Deliveroo,Delivered,8.34,55,69,13.45,2025-01-01 12:13:00,2025-01-01 13:12:00,2025-01-01 12:03:00,2025-01-01 13:12:00
105,367,Just Eat,Delivered,7.74,52,60,17.65,2025-01-01 15:05:00,2025-01-01 15:55:00,2025-01-01 14:55:00,2025-01-01 15:55:00
106,368,Zomato,Delivered,5.91,30,40,10.55,2025-01-01 19:22:00,2025-01-01 19:52:00,2025-01-01 19:12:00,2025-01-01 19:52:00
107,395,Zomato,Delivered,10.24,37,48,18.74,2025-01-01 18:44:00,2025-01-01 19:22:00,2025-01-01 18:34:00,2025-01-01 19:22:00
108,403,Swiggy,Delivered,4.02,24,28,6.05,2025-01-01 12:28:00,2025-01-01 12:46:00,2025-01-01 12:18:00,2025-01-01 12:46:00
109,404,Zomato,Delivered,4.52,54,51,6.24,2025-01-01 11:46:00,2025-01-01 12:27:00,2025-01-01 11:36:00,2025-01-01 12:27:00
110,405,Deliveroo,Delivered,5.21,29,30,6.69,2025-01-01 13:06:00,2025-01-01 13:26:00,2025-01-01 12:56:00,2025-01-01 13:26:00
111,406,Deliveroo,Delivered,4.64,49,57,5.94,2025-01-01 13:41:00,2025-01-01 14:28:00,2025-01-01 13:31:00,2025-01-01 14:28:00
112,408,Just Eat,Delivered,5.28,57,52,12.22,2025-01-01 21:44:00,2025-01-01 22:26:00,2025-01-01 21:34:00,2025-01-01 22:26:00
113,420,Deliveroo,Delivered,5.18,20,26,8.23,2025-01-01 18:40:00,2025-01-01 18:56:00,2025-01-01 18:30:00,2025-01-01 18:56:00
114,434,Just Eat,Delivered,10.39,46,58,22.56,2025-01-01 19:24:00,2025-01-01 20:12:00,2025-01-01 19:14:00,2025-01-01 20:12:00
115,435,Deliveroo,Delivered,9.8,34,44,14.56,2025-01-01 14:56:00,2025-01-01 15:30:00,2025-01-01 14:46:00,2025-01-01 15:30:00
116,436,Deliveroo,Delivered,6.34,44,49,13.12,2025-01-01 12:32:00,2025-01-01 13:11:00,2025-01-01 12:22:00,2025-01-01 13:11:00
117,440,Just Eat,Delivered,8.97,49,48,22.2,2025-01-01 10:38:00,2025-01-01 11:16:00,2025-01-01 10:28:00,2025-01-01 11:16:00
118,445,Uber Eats,Delivered,1.3,45,58,2.51,2025-01-01 18:13:00,2025-01-01 19:01:00,2025-01-01 18:03:00,2025-01-01 19:01:00
119,450,Zomato,Delivered,1.92,47,46,4.47,2025-01-01 12:51:00,2025-01-01 13:27:00,2025-01-01 12:41:00,2025-01-01 13:27:00
120,455,Swiggy,Delivered,1.55,44,49,2.29,2025-01-01 12:57:00,2025-01-01 13:36:00,2025-01-01 12:47:00,2025-01-01 13:36:00
121,458,Deliveroo,Delivered,4.71,44,47,10.26,2025-01-01 14:06:00,2025-01-01 14:43:00,2025-01-01 13:56:00,2025-01-01 14:43:00
122,463,Just Eat,Delivered,3.77,25,35,4.62,2025-01-01 19:53:00,2025-01-01 20:18:00,2025-01-01 19:43:00,2025-01-01 20:18:00
123,466,In House,Delivered,1.57,42,44,3.21,2025-01-01 20:14:00,2025-01-01 20:48:00,2025-01-01 20:04:00,2025-01-01 20:48:00
124,471,Uber Eats,Delivered,1.44,21,23,2.1,2025-01-01 13:42:00,2025-01-01 13:55:00,2025-01-01 13:32:00,2025-01-01 13:55:00
125,473,Uber Eats,Delivered,7.83,35,34,14.22,2025-01-01 18:26:00,2025-01-01 18:50:00,2025-01-01 18:16:00,2025-01-01 18:50:00
126,474,Swiggy,Delivered,7.2,33,42,15.19,2025-01-01 11:35:00,2025-01-01 12:07:00,2025-01-01 11:25:00,2025-01-01 12:07:00
127,478,Zomato,Delivered,2.85,58,56,6.3,2025-01-01 20:51:00,2025-01-01 21:37:00,2025-01-01 20:41:00,2025-01-01 21:37:00
128,481,Swiggy,Delivered,11.61,26,39,14.32,2025-01-01 20:11:00,2025-01-01 20:40:00,2025-01-01 20:01:00,2025-01-01 20:40:00
129,485,Zomato,Delivered,7.33,44,51,17.77,2025-01-01 21:13:00,2025-01-01 21:54:00,2025-01-01 21:03:00,2025-01-01 21:54:00
130,486,Swiggy,Delivered,1.84,60,62,2.45,2025-01-01 13:59:00,2025-01-01 14:51:00,2025-01-01 13:49:00,2025-01-01 14:51:00
131,494,Just Eat,Delivered,10.35,58,56,23.13,2025-01-01 18:48:00,2025-01-01 19:34:00,2025-01-01 18:38:00,2025-01-01 19:34:00
132,498,Swiggy,Delivered,9.61,42,54,16.88,2025-01-01 12:27:00,2025-01-01 13:11:00,2025-01-01 12:17:00,2025-01-01 13:11:00
133,500,Deliveroo,Delivered,1.76,41,36,4.06,2025-01-01 12:16:00,2025-01-01 12:42:00,2025-01-01 12:06:00,2025-01-01 12:42:00
134,504,Deliveroo,Delivered,2.16,43,58,5.1,2025-01-01 13:30:00,2025-01-01 14:18:00,2025-01-01 13:20:00,2025-01-01 14:18:00
135,514,In House,Delivered,8.78,47,47,18.91,2025-01-01 19:51:00,2025-01-01 20:28:00,2025-01-01 19:41:00,2025-01-01 20:28:00
136,521,In House,Delivered,3.97,54,64,7.16,2025-01-01 19:30:00,2025-01-01 20:24:00,2025-01-01 19:20:00,2025-01-01 20:24:00
137,524,Uber Eats,Delivered,7.52,40,42,17.15,2025-01-01 13:37:00,2025-01-01 14:09:00,2025-01-01 13:27:00,2025-01-01 14:09:00
138,530,Just Eat,Delivered,4.07,48,50,8.85,2025-01-01 18:47:00,2025-01-01 19:27:00,2025-01-01 18:37:00,2025-01-01 19:27:00
139,531,Swiggy,Delivered,7.71,44,49,9.54,2025-01-01 19:02:00,2025-01-01 19:41:00,2025-01-01 18:52:00,2025-01-01 19:41:00
140,537,Swiggy,Delivered,3.0,33,39,6.71,2025-01-01 20:10:00,2025-01-01 20:39:00,2025-01-01 20:00:00,2025-01-01 20:39:00
141,543,Just Eat,Delivered,4.08,58,61,7.84,2025-01-01 19:58:00,2025-01-01 20:49:00,2025-01-01 19:48:00,2025-01-01 20:49:00
142,546,Deliveroo,Delivered,11.43,25,27,24.42,2025-01-01 21:59:00,2025-01-01 22:16:00,2025-01-01 21:49:00,2025-01-01 22:16:00
143,549,Deliveroo,Delivered,7.11,35,45,14.5,2025-01-01 18:48:00,2025-01-01 19:23:00,2025-01-01 18:38:00,2025-01-01 19:23:00
144,551,Deliveroo,Delivered,5.93,21,18,9.38,2025-01-01 19:36:00,2025-01-01 19:44:00,2025-01-01 19:26:00,2025-01-01 19:44:00
145,556,Just Eat,Delivered,8.61,39,52,14.46,2025-01-01 14:09:00,2025-01-01 14:51:00,2025-01-01 13:59:00,2025-01-01 14:51:00
146,558,In House,Delivered,6.84,47,59,11.15,2025-01-01 14:52:00,2025-01-01 15:41:00,2025-01-01 14:42:00,2025-01-01 15:41:00
147,563,In House,Delivered,5.99,39,42,8.98,2025-01-01 09:37:00,2025-01-01 10:09:00,2025-01-01 09:27:00,2025-01-01 10:09:00
148,573,In House,Delivered,3.12,27,39,7.6,2025-01-01 12:32:00,2025-01-01 13:01:00,2025-01-01 12:22:00,2025-01-01 13:01:00
149,574,Just Eat,Delivered,3.04,33,43,4.74,2025-01-01 18:38:00,2025-01-01 19:11:00,2025-01-01 18:28:00,2025-01-01 19:11:00
150,577,Uber Eats,Delivered,11.74,53,67,18.41,2025-01-01 12:48:00,2025-01-01 13:45:00,2025-01-01 12:38:00,2025-01-01 13:45:00
151,581,Swiggy,Delivered,10.16,38,40,16.96,2025-01-01 12:50:00,2025-01-01 13:20:00,2025-01-01 12:40:00,2025-01-01 13:20:00
152,584,Uber Eats,Delivered,1.16,54,53,1.81,2025-01-01 10:26:00,2025-01-01 11:09:00,2025-01-01 10:16:00,2025-01-01 11:09:00
153,594,Deliveroo,Delivered,7.09,28,43,16.51,2025-01-01 19:27:00,2025-01-01 20:00:00,2025-01-01 19:17:00,2025-01-01 20:00:00
154,600,Deliveroo,Delivered,2.13,20,33,3.34,2025-01-01 14:34:00,2025-01-01 14:57:00,2025-01-01 14:24:00,2025-01-01 14:57:00
155,602,Deliveroo,Delivered,5.85,31,27,8.94,2025-01-01 13:08:00,2025-01-01 13:25:00,2025-01-01 12:58:00,2025-01-01 13:25:00
156,604,Just Eat,Delivered,2.25,24,31,4.14,2025-01-01 19:12:00,2025-01-01 19:33:00,2025-01-01 19:02:00,2025-01-01 19:33:00
157,607,Just Eat,Delivered,7.92,23,22,11.04,2025-01-01 12:33:00,2025-01-01 12:45:00,2025-01-01 12:23:00,2025-01-01 12:45:00
158,610,Deliveroo,Delivered,11.44,25,27,15.49,2025-01-01 19:10:00,2025-01-01 19:27:00,2025-01-01 19:00:00,2025-01-01 19:27:00
159,616,Deliveroo,Delivered,7.67,59,61,16.94,2025-01-01 21:25:00,2025-01-01 22:16:00,2025-01-01 21:15:00,2025-01-01 22:16:00
160,621,Deliveroo,Delivered,5.96,48,52,13.82,2025-01-01 11:20:00,2025-01-01 12:02:00,2025-01-01 11:10:00,2025-01-01 12:02:00
161,624,In House,Delivered,4.36,59,55,8.69,2025-01-01 13:21:00,2025-01-01 14:06:00,2025-01-01 13:11:00,2025-01-01 14:06:00
162,630,In House,Delivered,2.09,33,48,3.08,2025-01-01 21:13:00,2025-01-01 21:51:00,2025-01-01 21:03:00,2025-01-01 21:51:00
163,632,Zomato,Delivered,1.89,35,35,3.62,2025-01-01 12:21:00,2025-01-01 12:46:00,2025-01-01 12:11:00,2025-01-01 12:46:00
164,636,Uber Eats,Delivered,1.03,48,62,1.87,2025-01-01 20:00:00,2025-01-01 20:52:00,2025-01-01 19:50:00,2025-01-01 20:52:00
165,637,Zomato,Delivered,3.55,38,47,4.59,2025-01-01 13:44:00,2025-01-01 14:21:00,2025-01-01 13:34:00,2025-01-01 14:21:00
166,640,Zomato,Delivered,11.16,60,73,22.98,2025-01-01 21:43:00,2025-01-01 22:46:00,2025-01-01 21:33:00,2025-01-01 22:46:00
167,641,Swiggy,Delivered,5.68,54,56,11.6,2025-01-01 11:52:00,2025-01-01 12:38:00,2025-01-01 11:42:00,2025-01-01 12:38:00
168,645,Swiggy,Delivered,10.09,24,20,14.28,2025-01-01 13:46:00,2025-01-01 13:56:00,2025-01-01 13:36:00,2025-01-01 13:56:00
169,650,Deliveroo,Delivered,7.55,56,60,13.37,2025-01-01 19:08:00,2025-01-01 19:58:00,2025-01-01 18:58:00,2025-01-01 19:58:00
170,656,Deliveroo,Delivered,8.58,45,48,15.88,2025-01-01 19:54:00,2025-01-01 20:32:00,2025-01-01 19:44:00,2025-01-01 20:32:00
171,657,In House,Delivered,5.82,58,54,13.71,2025-01-01 19:46:00,2025-01-01 20:30:00,2025-01-01 19:36:00,2025-01-01 20:30:00
172,658,In House,Delivered,4.55,36,31,6.0,2025-01-01 21:24:00,2025-01-01 21:45:00,2025-01-01 21:14:00,2025-01-01 21:45:00
173,659,In House,Delivered,10.2,56,69,24.85,2025-01-01 12:57:00,2025-01-01 13:56:00,2025-01-01 12:47:00,2025-01-01 13:56:00
174,668,Zomato,Delivered,10.04,56,52,22.01,2025-01-01 18:40:00,2025-01-01 19:22:00,2025-01-01 18:30:00,2025-01-01 19:22:00
175,674,Just Eat,Delivered,6.18,48,51,8.87,2025-01-01 12:00:00,2025-01-01 12:41:00,2025-01-01 11:50:00,2025-01-01 12:41:00
