id,restaurant_id,supplier_name,category,email,phone,city,rating,status,created_at,updated_at
102,9,Moore-Hicks,Packaging,williamsongregory@mills-brown.com,522.826.1962x3037,East Pamelafurt,4.3,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
103,10,"Hall, White and Fuentes",Bakery,mary60@barber.com,001-382-836-1932x773,Millertown,4.5,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
104,10,Villanueva-Jackson,Seafood,patty68@lee.com,(932)389-4157x091,New Ginachester,4.7,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
105,10,Huerta Group,Vegetables,cowens@bradford.org,949.307.8337x900,West Joseborough,4.4,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
106,10,"Mccoy, Hubbard and Bailey",Dairy,swebb@fuentes-bishop.info,706.898.8022x51709,Port Laura,3.7,Active,2026-06-18 12:13:37.982403,2026-06-18 12:13:37.982403
107,10,"Lewis, Jenkins and Sanders",Packaging,valerie05@murillo.com,(575)887-2466x985,Howardshire,4.6,Active,2026-06-18 12:13:37.982403,2026-06-18 12:13:37.982403
108,10,Lane-Brown,Dairy,moorejason@fletcher-adams.com,(270)476-2155,Johnsontown,3.7,Active,2026-06-18 12:13:37.982403,2026-06-18 12:13:37.982403
109,10,"Peterson, Donovan and Roy",Seafood,jimenezjohn@harris.com,(256)837-3425x392,Port Julia,3.9,Active,2026-06-18 12:13:37.982403,2026-06-18 12:13:37.982403
110,10,"Bell, Robertson and Hudson",Dairy,sarah76@parker.com,764.852.9791,South Mary,3.9,Active,2026-06-18 12:13:37.982403,2026-06-18 12:13:37.982403
111,10,Collier Inc,Bakery,gonzalezlauren@thompson.com,+1-844-886-3704x67267,Hectorburgh,3.9,Active,2026-06-18 12:13:37.982403,2026-06-18 12:13:37.982403
112,10,Garrison-Reed,Meat,harrismichelle@banks.com,626-528-7080,South Nancy,4.6,Active,2026-06-18 12:13:37.982403,2026-06-18 12:13:37.982403
113,10,Curry-Perkins,Cleaning,kleonard@ferguson.com,+1-996-696-2186,East Leemouth,4.0,Active,2026-06-18 12:13:37.982403,2026-06-18 12:13:37.982403
114,10,Price-Ortiz,Vegetables,klewis@leach.com,+1-891-949-2938,New Bonnieton,3.9,Active,2026-06-18 12:13:37.982403,2026-06-18 12:13:37.982403
115,10,"Smith, Edwards and Murphy",Seafood,cartersteven@mendez-james.com,241-285-1474,North Glenview,4.6,Active,2026-06-18 12:13:37.985035,2026-06-18 12:13:37.985035
116,10,Bond-Walker,Cleaning,richardsonsheila@chapman.com,704-218-5913,Danielbury,4.6,Active,2026-06-18 12:13:37.985035,2026-06-18 12:13:37.985035
117,10,Berg-Cook,Meat,wdrake@wilkerson.com,846-478-2929,Raymondmouth,4.9,Active,2026-06-18 12:13:37.985035,2026-06-18 12:13:37.985035
118,11,"Herring, Marquez and Thompson",Bakery,jonathansmith@wright-martinez.com,+1-968-531-8162x9835,Kruegerport,4.7,Active,2026-06-18 12:13:37.985035,2026-06-18 12:13:37.985035
119,11,Acosta-Gibson,Beverages,martindeanna@roberts.com,+1-898-608-2170,Lindafurt,3.8,Active,2026-06-18 12:13:37.986296,2026-06-18 12:13:37.986296
120,11,"Marshall, Davis and Kelly",Beverages,mariawilkinson@todd.net,905.812.1200,Lake Stephaniehaven,3.7,Active,2026-06-18 12:13:37.986296,2026-06-18 12:13:37.986296
121,11,English-Rhodes,Dairy,donna33@martin.com,+1-246-608-4560x8449,South Anthony,3.8,Active,2026-06-18 12:13:37.986296,2026-06-18 12:13:37.986296
122,11,"Curtis, Williams and Hardin",Packaging,rwilliams@brown.net,+1-775-651-2165x171,Tabithamouth,4.1,Active,2026-06-18 12:13:37.986296,2026-06-18 12:13:37.986296
123,11,Edwards and Sons,Vegetables,qbrown@jacobs.com,(281)268-7602x8336,Brittanymouth,4.5,Active,2026-06-18 12:13:37.987294,2026-06-18 12:13:37.987294
124,11,Maddox-Mendez,Dairy,allison97@flores.info,796.917.8816x6140,Duncanfort,4.9,Active,2026-06-18 12:13:37.987294,2026-06-18 12:13:37.987294
125,11,Bryant Inc,Seafood,raymonddudley@morgan.com,001-366-531-7117x46882,Roberthaven,3.6,Active,2026-06-18 12:13:37.987294,2026-06-18 12:13:37.987294
126,11,"Lynch, Roberts and Espinoza",Seafood,charles37@griffin-dickerson.com,001-926-504-0269x6452,Lake James,4.2,Active,2026-06-18 12:13:37.987294,2026-06-18 12:13:37.987294
127,11,Sanchez-Cooper,Beverages,brooksnathan@matthews.com,(325)473-6844,Port Eric,4.7,Active,2026-06-18 12:13:37.988293,2026-06-18 12:13:37.988293
128,11,Shepherd-Wolfe,Bakery,natashacole@lee-mckinney.biz,+1-388-708-6631x50263,New Taylor,4.1,Active,2026-06-18 12:13:37.988293,2026-06-18 12:13:37.988293
129,11,Lamb-Sanders,Seafood,meganjohnston@munoz-ballard.com,820.512.2947x1867,Millermouth,4.2,Active,2026-06-18 12:13:37.988293,2026-06-18 12:13:37.988293
130,11,"Cherry, Miller and Collins",Dairy,carolmartin@martin.com,001-723-270-8217x299,South Andrewport,5.0,Active,2026-06-18 12:13:37.989293,2026-06-18 12:13:37.989293
131,11,Richardson-Thompson,Seafood,fletchersteven@alvarez-hill.net,(591)986-2557x29762,Spencershire,4.0,Active,2026-06-18 12:13:37.989293,2026-06-18 12:13:37.989293
132,11,Fox PLC,Vegetables,thomasjames@andrade.org,875-317-7448,South Tylerfort,4.3,Active,2026-06-18 12:13:37.989293,2026-06-18 12:13:37.989293
133,12,Burns-Todd,Dairy,edwardmartin@jackson.com,217-609-5344x32800,Lauraton,4.9,Active,2026-06-18 12:13:37.989293,2026-06-18 12:13:37.989293
134,12,Christensen and Sons,Meat,thomas78@martinez.com,2046800051,Taylorview,4.9,Active,2026-06-18 12:13:37.990294,2026-06-18 12:13:37.990294
135,12,Hill LLC,Vegetables,austingraham@mcclure.com,3255105372,West Erin,4.8,Active,2026-06-18 12:13:37.990294,2026-06-18 12:13:37.990294
136,12,"Joyce, Miller and Jordan",Seafood,ericcunningham@clark-miller.com,+1-953-598-0784x9002,Port Mike,3.9,Active,2026-06-18 12:13:37.990294,2026-06-18 12:13:37.990294
137,12,Roberts and Sons,Seafood,butleradam@browning-smith.info,966.372.1187x732,Port Rhonda,4.8,Active,2026-06-18 12:13:37.990294,2026-06-18 12:13:37.990294
138,12,Hernandez Inc,Vegetables,thomas78@edwards-martin.net,597-869-6673,Lake Jason,4.3,Active,2026-06-18 12:13:37.991298,2026-06-18 12:13:37.991298
139,12,Cross Ltd,Bakery,bpowers@hughes.info,2504266202,West Andrew,3.8,Active,2026-06-18 12:13:37.991298,2026-06-18 12:13:37.991298
140,12,Williams-Roman,Cleaning,leslie76@williams.com,001-690-948-4615x238,Kathleenfort,4.2,Active,2026-06-18 12:13:37.991298,2026-06-18 12:13:37.991298
141,12,Martin-Kirk,Cleaning,danielle25@blake.com,254.269.1552x486,New Brianstad,3.7,Active,2026-06-18 12:13:37.991298,2026-06-18 12:13:37.991298
142,12,Miller-Miller,Packaging,sarah31@yates.com,638.516.8258x698,Owensshire,3.5,Active,2026-06-18 12:13:37.992298,2026-06-18 12:13:37.992298
143,12,Ortega Group,Seafood,nterry@douglas-davis.net,+1-467-310-7839x62755,Jesseland,4.8,Active,2026-06-18 12:13:37.992298,2026-06-18 12:13:37.992298
144,12,Gonzalez Ltd,Cleaning,jamessimpson@baker.org,989-778-6378,Pattersonfort,3.9,Active,2026-06-18 12:13:37.993298,2026-06-18 12:13:37.993298
145,12,Rice-Villarreal,Seafood,xmartinez@robinson.com,+1-567-458-3338x4671,Floresville,4.7,Active,2026-06-18 12:13:37.993298,2026-06-18 12:13:37.993298
146,12,"Frank, Garrett and Martin",Bakery,zjones@bradley.info,+1-775-285-1995,Graceton,3.6,Active,2026-06-18 12:13:37.993298,2026-06-18 12:13:37.993298
147,12,Wood and Sons,Beverages,eatonstephanie@rivera.com,368.352.7557x96699,East Kevin,3.6,Active,2026-06-18 12:13:37.994340,2026-06-18 12:13:37.994340
148,13,"Allen, Stevenson and Patterson",Dairy,robbinssean@morgan.com,+1-392-997-8415x52547,Lake Jamesmouth,4.4,Active,2026-06-18 12:13:37.994340,2026-06-18 12:13:37.994340
149,13,Moore PLC,Meat,michael55@neal.net,+1-636-338-0409x2814,Mollyport,4.7,Active,2026-06-18 12:13:37.994340,2026-06-18 12:13:37.994340
150,13,Foster and Sons,Seafood,emilyroberts@lee.com,+1-376-794-1826x956,Moralesberg,4.2,Active,2026-06-18 12:13:37.995397,2026-06-18 12:13:37.995397
151,13,"Sandoval, Russell and Flores",Beverages,afuller@hall.biz,001-832-479-7481x284,Nicholasmouth,4.5,Active,2026-06-18 12:13:37.995397,2026-06-18 12:13:37.995397
152,13,Brown Ltd,Bakery,sara88@knight.com,947-442-7679,Mathisshire,4.2,Active,2026-06-18 12:13:37.995397,2026-06-18 12:13:37.995397
153,13,Watson Group,Seafood,unelson@johnson.com,427.478.1724x05767,West Darleneport,3.8,Active,2026-06-18 12:13:37.995397,2026-06-18 12:13:37.995397
154,13,Johnson Group,Cleaning,lawrencelee@hanna-huffman.com,6667073715,Freemanmouth,3.7,Active,2026-06-18 12:13:37.996300,2026-06-18 12:13:37.996300
155,13,"Delgado, Hess and Stein",Seafood,olucas@wilson.com,974-671-8238x7560,Susanhaven,3.7,Active,2026-06-18 12:13:37.996605,2026-06-18 12:13:37.996605
156,13,"Marsh, Davis and Harris",Beverages,craigpaul@robertson.com,(381)777-9927,Daviston,3.9,Active,2026-06-18 12:13:37.996605,2026-06-18 12:13:37.996605
157,13,Hebert and Sons,Bakery,jonwilliams@day.info,448-688-6672,Taraton,3.6,Active,2026-06-18 12:13:37.997608,2026-06-18 12:13:37.997608
