id,client_id,restaurant_name,restaurant_type,cuisine,country,currency,city,postcode,address,phone,email,opening_time,closing_time,seating_capacity,delivery_available,takeaway_available,average_daily_customers,average_order_value,google_rating,status,created_at,updated_at
11,6,Taylor-Oliver,Cafe,Italian,United Kingdom,GBP,Lake Jamie,SE3Y 6HJ,"Studio 1, Robinson Burg, New Iain, RM8 3GZ",+448081570281,kellywilkinson@davies.info,09:00,22:00,84,False,True,591,30.99,4.9,Active,2026-06-18 12:01:28.900451,2026-06-18 12:01:28.900451
12,6,Clarke Ltd,Fast Food,Chinese,United Kingdom,GBP,South Joshuamouth,W5H 9BL,"80 Kim Squares, Port Frankmouth, NE8R 5WZ",(0113) 496 0649,howellmaurice@hurst-walker.com,09:00,22:00,97,True,True,349,47.86,4.1,Active,2026-06-18 12:01:28.900451,2026-06-18 12:01:28.900451
13,6,"Hicks, Wong and Brown",Cloud Kitchen,British,United Kingdom,GBP,West Alexanderfurt,CB3R 9WZ,"Flat 8, Buckley Common, Jonestown, B2 3FG",+4428 9018 0351,mandy11@lewis.info,09:00,22:00,122,True,True,585,16.36,3.6,Active,2026-06-18 12:01:28.900451,2026-06-18 12:01:28.900451
14,6,Leach-Smith,Fine Dining,Chinese,United Kingdom,GBP,Lake Karlport,UB70 7RQ,"Studio 40, Dennis Turnpike, South Juneton, E73 6UH",+44118 496 0244,bethsmith@parry-west.com,09:00,22:00,190,True,False,145,30.47,4.4,Active,2026-06-18 12:01:28.900451,2026-06-18 12:01:28.900451
15,7,Gera Group,Cloud Kitchen,Thai,India,INR,Nagaon,467092,"H.No. 700, Patla Circle, Satara-576953",2862655255,aishanipalla@mukherjee.com,09:00,22:00,171,True,True,353,48.89,4.0,Active,2026-06-18 12:01:28.900451,2026-06-18 12:01:28.900451
16,7,Divan-Khurana,Cafe,British,India,INR,Sambhal,186688,"H.No. 39, Agarwal, Shimoga-748657",03843695587,atharvmuni@char.info,09:00,22:00,70,False,True,349,58.65,4.6,Active,2026-06-18 12:01:28.901455,2026-06-18 12:01:28.901455
17,7,Parmar-Dasgupta,Cloud Kitchen,Italian,India,INR,Sultan Pur Majra,183819,"48, Bhatia Marg, Hyderabad-863351",3458733865,nitarahegde@bhargava-bhat.info,09:00,22:00,190,False,True,236,29.95,3.7,Active,2026-06-18 12:01:28.901455,2026-06-18 12:01:28.901455
18,7,Dhar and Sons,Cloud Kitchen,Indian,India,INR,Jabalpur,041508,"35/398, Roy Nagar, Surat-405250",+917080108375,gargjonathan@guha.org,09:00,22:00,183,False,False,99,17.37,4.0,Active,2026-06-18 12:01:28.901455,2026-06-18 12:01:28.901455
19,8,Samra-Dora,Casual Dining,Indian,India,INR,Rewa,367447,"H.No. 990, Shanker Zila, Jhansi-950583",+910611811559,krishasarna@upadhyay-divan.net,09:00,22:00,91,True,True,577,51.17,5.0,Active,2026-06-18 12:01:28.901455,2026-06-18 12:01:28.901455
20,8,Balan Group,Cloud Kitchen,Chinese,India,INR,Phagwara,847837,"75/582, Hayre Street, Sangli-Miraj & Kupwad-270502",+914280289313,wnayak@chopra-hari.com,09:00,22:00,62,False,True,351,37.33,4.4,Active,2026-06-18 12:01:28.901455,2026-06-18 12:01:28.901455
21,8,Chaudhari-Sekhon,Casual Dining,Mexican,India,INR,Tinsukia,181216,"33/891, Narasimhan Marg, Eluru 708930",01926956094,lila05@khare.net,09:00,22:00,212,False,False,462,33.03,4.3,Active,2026-06-18 12:01:28.901455,2026-06-18 12:01:28.901455
22,9,Wagle-Char,Casual Dining,Mexican,India,INR,Kota,265041,"66, Nayar Zila, Bijapur-987872",07310752897,urishilladutt@pai.com,09:00,22:00,46,False,True,315,40.25,3.5,Active,2026-06-18 12:01:28.901455,2026-06-18 12:01:28.901455
23,10,Gibson-Scott,Casual Dining,Italian,United Kingdom,GBP,West Elaineport,S2 4YP,"Flat 04, Natalie Branch, West Mandy, RM5R 1ED",0121 496 0215,gcollins@gill-harris.com,09:00,22:00,38,False,True,323,25.37,4.2,Active,2026-06-18 12:01:28.901455,2026-06-18 12:01:28.901455
24,11,Foster Ltd,Bakery,American,United Kingdom,GBP,Matthewchester,L2C 5HE,"66 Watson Alley, Staceyton, LU81 6RB",01174960050,edunn@parry.com,09:00,22:00,92,False,False,274,16.53,4.5,Active,2026-06-18 12:01:28.902482,2026-06-18 12:01:28.902482
25,11,"Taylor, Savage and Cooper",Cafe,British,United Kingdom,GBP,West Francis,S9D 3YJ,"Studio 14, Alexander Forges, Stonechester, E02 8TQ",+44161 496 0903,tracey89@kirby.com,09:00,22:00,135,False,True,180,14.91,4.6,Active,2026-06-18 12:01:28.902482,2026-06-18 12:01:28.902482
26,12,Wall Inc,Casual Dining,Mexican,United Kingdom,GBP,Cookfort,PL0 7FU,"Flat 02E, Shannon Corners, North Ricky, M3K 3PS",(0141) 4960494,joannaharper@jenkins.com,09:00,22:00,78,False,True,512,20.81,4.2,Active,2026-06-18 12:01:28.902482,2026-06-18 12:01:28.902482
27,13,"Varma, Padmanabhan and Suresh",Fast Food,Italian,India,INR,Anantapuram,747034,"H.No. 69, Tara Chowk, Deoghar 423995",0817378590,norielijah@konda-sawhney.org,09:00,22:00,42,True,True,322,19.98,4.2,Active,2026-06-18 12:01:28.902482,2026-06-18 12:01:28.902482
28,14,"Leonard, Brown and Roberts",Fast Food,Indian,United Kingdom,GBP,West Vincentbury,G6 3BL,"Flat 7, Jenkins Shoal, Lake Carlychester, S82 6PT",+4429 2018 0982,parkersuzanne@bell-ward.com,09:00,22:00,72,False,True,479,24.73,4.7,Active,2026-06-18 12:01:28.902482,2026-06-18 12:01:28.902482
29,14,Jenkins-Rogers,Fast Food,Thai,United Kingdom,GBP,Port Benjaminfurt,GL5 3NL,"Flat 9, Humphries Rapids, Brandonborough, E07 5LR",+44(0)117 496 0201,derekdale@ward-thomas.com,09:00,22:00,138,False,True,274,26.24,5.0,Active,2026-06-18 12:01:28.902482,2026-06-18 12:01:28.902482
30,15,Khare Inc,Bakery,Japanese,India,INR,Pallavaram,826704,"77, Natt Zila, Rajkot-757130",+918078541226,nidhimorar@gala.com,09:00,22:00,44,True,False,594,56.13,4.3,Active,2026-06-18 12:01:28.902482,2026-06-18 12:01:28.902482
31,16,"Holt, Green and Morris",Cloud Kitchen,Italian,United Kingdom,GBP,West Maureenhaven,M71 9LY,"Studio 77F, Jane Cliffs, West Harry, BN42 6TT",+44(0)20 7496 0623,greenglenn@cole-griffin.com,09:00,22:00,247,True,True,149,44.41,3.9,Active,2026-06-18 12:01:28.903664,2026-06-18 12:01:28.903664
32,17,"Thomas, Patel and Mitchell",Cloud Kitchen,Mexican,United Kingdom,GBP,Crawfordshire,B6A 3HY,"256 Danny Lane, Josephineport, BL79 7WW",+44(0)1154960580,hudsonkayleigh@whittaker.co.uk,09:00,22:00,178,True,True,509,43.55,4.3,Active,2026-06-18 12:01:28.903664,2026-06-18 12:01:28.903664
33,18,O'Donnell-Smith,Cafe,Mexican,United Kingdom,GBP,Khanstad,HX8N 6EG,"6 Wallace Overpass, East Hollie, W61 5PB",(0116) 4960181,keith60@fox-johnson.info,09:00,22:00,201,False,True,351,31.0,4.5,Active,2026-06-18 12:01:28.903664,2026-06-18 12:01:28.903664
34,18,Ward Ltd,Cafe,American,United Kingdom,GBP,North Guy,SW19 5JB,"884 Young Port, Gregoryland, ME2R 2XH",0161 496 0860,hughwright@williams-stevens.com,09:00,22:00,110,True,True,549,41.82,4.3,Active,2026-06-18 12:01:28.903664,2026-06-18 12:01:28.903664
35,18,Morley-Burgess,Fine Dining,Italian,United Kingdom,GBP,New Sarah,E87 4BT,"129 Damien Estates, West Brandon, L4 4XH",01914960944,davislucy@craig.com,09:00,22:00,167,True,False,215,56.8,4.8,Active,2026-06-18 12:01:28.903664,2026-06-18 12:01:28.903664
36,19,Sankaran Inc,Cafe,Thai,India,INR,Anantapur,736065,"53, Sahni Road, Jamshedpur 993618",+919702922163,triveni67@buch.net,09:00,22:00,70,False,False,88,44.06,4.3,Active,2026-06-18 12:01:28.903664,2026-06-18 12:01:28.903664
37,19,Raman-Padmanabhan,Bakery,Italian,India,INR,Howrah,397649,"H.No. 432, Ghose, Shimla-609361",02870658325,xramaswamy@nagi-uppal.net,09:00,22:00,64,False,True,189,47.64,3.7,Active,2026-06-18 12:01:28.904658,2026-06-18 12:01:28.904658
38,20,Thompson Group,Cloud Kitchen,Mexican,United Kingdom,GBP,Pearcefurt,S3G 2YF,"Flat 67, Murray Estate, New Kieran, UB4 9LQ",+44(0)1614960516,annetteparsons@cameron-lawrence.com,09:00,22:00,213,False,True,350,36.26,3.9,Active,2026-06-18 12:01:28.904658,2026-06-18 12:01:28.904658
39,20,"Booth, Hutchinson and Bray",Fine Dining,Italian,United Kingdom,GBP,Harrietton,E41 0ST,"6 Burton Light, Marshton, KW65 3WQ",028 9018601,wrightpatrick@davies.com,09:00,22:00,192,False,False,125,12.17,4.7,Active,2026-06-18 12:01:28.904658,2026-06-18 12:01:28.904658
40,20,"Harrison, Willis and Peters",Bakery,Thai,United Kingdom,GBP,Port Carol,WD0 9UF,"Studio 23L, Catherine Manors, Robinton, CO9 7QS",+44118 496 0917,alisonhoward@barber.co.uk,09:00,22:00,71,False,False,89,17.37,4.9,Active,2026-06-18 12:01:28.904658,2026-06-18 12:01:28.904658
41,21,Wells-Bryant,Cloud Kitchen,Indian,United Kingdom,GBP,Tinaview,NR12 0FL,"2 Marsden Lock, Kingchester, BB5 0YF",020 7946 0688,eileenlewis@rice.net,09:00,22:00,243,False,True,520,18.12,4.0,Active,2026-06-18 12:01:28.905649,2026-06-18 12:01:28.905649
42,21,White-Howarth,Fine Dining,Japanese,United Kingdom,GBP,Philipfurt,NE5A 1XR,"00 Megan Cove, Taylorborough, DA3B 4RT",0151 4960101,smorrison@evans-parker.biz,09:00,22:00,83,True,True,442,49.45,4.8,Active,2026-06-18 12:01:28.905649,2026-06-18 12:01:28.905649
43,22,"Wood, Turner and Johnson",Cloud Kitchen,Chinese,United Kingdom,GBP,New Lynda,S0K 8YW,"Flat 52, Knight Street, Kieranhaven, KT5N 9TP",+44(0)151 4960678,charlotte22@jones.com,09:00,22:00,90,True,True,502,13.19,4.6,Active,2026-06-18 12:01:28.905649,2026-06-18 12:01:28.905649
44,22,"Thornton, Hamilton and Harris",Cafe,British,United Kingdom,GBP,Taylorburgh,TW94 3WN,"Studio 84G, Tina Brooks, Bibiside, N3 4YJ",0115 4960643,yowen@jones.info,09:00,22:00,235,True,False,243,49.79,3.7,Active,2026-06-18 12:01:28.905649,2026-06-18 12:01:28.905649
45,22,"Scott, Wall and Jones",Fine Dining,American,United Kingdom,GBP,Port Jamietown,CB0 0RW,"80 Alison Village, South Diana, SR73 5WT",020 74960251,austindanielle@murphy.com,09:00,22:00,86,True,False,438,26.65,4.7,Active,2026-06-18 12:01:28.905649,2026-06-18 12:01:28.905649
46,22,"Houghton, Bradley and Heath",Casual Dining,Mexican,United Kingdom,GBP,West Nigeltown,LD5 6WA,"Studio 58, Sophie Trail, Brownland, M8S 0UF",+441164960363,harryharris@brown.com,09:00,22:00,36,True,False,416,25.37,3.6,Active,2026-06-18 12:01:28.906609,2026-06-18 12:01:28.906609
47,23,Bell Inc,Cafe,British,United Kingdom,GBP,East Jemma,SG22 2TT,"Studio 0, Scott Shoals, Rosieborough, CT1 3BL",(029) 2018800,howard89@williams-adams.com,09:00,22:00,203,False,True,198,54.1,3.9,Active,2026-06-18 12:01:28.906609,2026-06-18 12:01:28.906609
48,23,"Thomas, Parker and Miah",Cloud Kitchen,Thai,United Kingdom,GBP,O'Connorfurt,G20 7DL,"Studio 1, Ford Station, East Dannyview, HG39 2JD",(020)74960428,teresaward@davis-carroll.com,09:00,22:00,39,True,False,433,46.97,4.0,Active,2026-06-18 12:01:28.906609,2026-06-18 12:01:28.906609
49,23,Wright PLC,Cloud Kitchen,Italian,United Kingdom,GBP,South Connor,LS39 5AF,"734 Tom Shoals, Shahfurt, B2 6DA",01174960421,ohughes@james.org,09:00,22:00,128,True,False,125,46.02,3.5,Active,2026-06-18 12:01:28.906609,2026-06-18 12:01:28.906609
50,24,Mody Group,Cafe,British,India,INR,Nanded,998597,"46, Pai Zila, Jabalpur-834373",9454590883,triptivora@lall.com,09:00,22:00,47,False,False,207,46.55,4.0,Active,2026-06-18 12:01:28.906609,2026-06-18 12:01:28.906609
51,24,"Soman, Khatri and Murty",Cafe,British,India,INR,Sambalpur,407637,"70, Nigam Nagar, Mirzapur-834132",+918082542763,nishamishra@kade-sethi.net,09:00,22:00,113,False,False,210,21.21,4.5,Active,2026-06-18 12:01:28.906609,2026-06-18 12:01:28.906609
52,25,Shanker-Sengupta,Bakery,Chinese,India,INR,Gaya,456088,"86, Vig Chowk, Jabalpur-756503",4002879156,yash94@sabharwal.net,09:00,22:00,187,False,False,80,26.59,3.8,Active,2026-06-18 12:01:28.906609,2026-06-18 12:01:28.906609
53,25,Chander Ltd,Cloud Kitchen,Japanese,India,INR,Miryalaguda,671921,"H.No. 88, Thaman Chowk, Vijayawada 888578",+917126255754,sethamol@arya.com,09:00,22:00,149,False,False,298,36.54,4.7,Active,2026-06-18 12:01:28.906609,2026-06-18 12:01:28.906609
54,25,"Datta, Dave and Talwar",Bakery,Chinese,India,INR,Shahjahanpur,197764,"69, Khatri Zila, Aurangabad-461061",07260166494,karnikbhavna@guha.org,09:00,22:00,198,True,False,423,16.48,4.9,Active,2026-06-18 12:01:28.907664,2026-06-18 12:01:28.907664
55,25,Sawhney-Bandi,Casual Dining,Thai,India,INR,Munger,357947,"12, Khanna Path, Ongole-697326",3075838547,soniharini@puri.net,09:00,22:00,87,True,True,105,14.22,5.0,Active,2026-06-18 12:01:28.907664,2026-06-18 12:01:28.907664
56,26,"Peters, Hardy and Barry",Fast Food,British,United Kingdom,GBP,Ellisshire,HX93 2SH,"Flat 4, Walker Tunnel, Jonathanbury, KY0 6PJ",09098790317,jatkins@douglas-morris.com,09:00,22:00,191,True,False,586,31.18,3.7,Active,2026-06-18 12:01:28.907664,2026-06-18 12:01:28.907664
57,27,Vala-Kapadia,Fine Dining,British,India,INR,Chennai,560853,"094, Bakshi Circle, Dharmavaram 029681",2072190421,vaishnavi86@balay-naidu.org,09:00,22:00,86,True,False,131,38.76,4.9,Active,2026-06-18 12:01:28.907664,2026-06-18 12:01:28.907664
58,28,"Kara, Bajaj and Parmer",Fast Food,Chinese,India,INR,Nagpur,313945,"63, Sharaf Ganj, Panipat-623819",06296950107,wnayak@behl-mane.com,09:00,22:00,235,False,False,533,41.41,4.6,Active,2026-06-18 12:01:28.907664,2026-06-18 12:01:28.907664
59,29,Bose and Sons,Cloud Kitchen,American,India,INR,Jaunpur,235841,"H.No. 68, Loke Ganj, Tumkur 218687",9613068543,omaja89@mohan-vaidya.com,09:00,22:00,70,False,False,345,48.09,4.8,Active,2026-06-18 12:01:28.907664,2026-06-18 12:01:28.907664
60,29,Mahajan and Sons,Cafe,American,India,INR,Munger,141382,"H.No. 94, Oza Path, Fatehpur-865542",+911419534030,aacharya@jani-menon.com,09:00,22:00,190,True,False,530,15.72,3.9,Active,2026-06-18 12:01:28.907664,2026-06-18 12:01:28.907664
61,29,Bajaj and Sons,Cafe,Japanese,India,INR,Panchkula,637009,"83, Wali Zila, South Dumdum 657472",+918004801866,tbuch@bhatt-parmar.com,09:00,22:00,111,True,True,234,23.1,4.5,Active,2026-06-18 12:01:28.907664,2026-06-18 12:01:28.907664
62,29,Luthra-Nigam,Bakery,Mexican,India,INR,Vadodara,167030,"276, Hayre Chowk, Shivpuri-345511",+912503235662,ngaba@vaidya.com,09:00,22:00,46,False,False,418,38.05,4.1,Active,2026-06-18 12:01:28.907664,2026-06-18 12:01:28.907664
63,30,Dhar PLC,Fast Food,British,India,INR,Sambalpur,700889,"72/44, Misra Ganj, Jalna 158363",7708744542,jaitaneja@kapur.com,09:00,22:00,227,True,False,568,12.28,4.0,Active,2026-06-18 12:01:28.908658,2026-06-18 12:01:28.908658
64,30,"Nayar, Nair and Rege",Fast Food,British,India,INR,Ongole,477524,"71/60, Chaudry Ganj, Kottayam 924266",+911537829488,bhattacharyyafaqid@deep-walia.com,09:00,22:00,167,True,False,304,25.1,4.2,Active,2026-06-18 12:01:28.908658,2026-06-18 12:01:28.908658
