id,restaurant_id,cashup_id,deposit_date,bank_name,account_number,deposit_amount,reference_number,status,created_at,updated_at
27,27,27,2025-01-01,Axis Bank,****3340,16385.02,DEP00000027,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
28,28,28,2025-01-01,NatWest,****9830,16905.62,DEP00000028,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
29,29,29,2025-01-01,SBI,****7543,15120.93,DEP00000029,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
30,30,30,2025-01-01,Lloyds,****9348,15206.47,DEP00000030,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
31,31,31,2025-01-01,HSBC,****2796,16700.84,DEP00000031,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
32,32,32,2025-01-01,Lloyds,****7916,16715.73,DEP00000032,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
33,33,33,2025-01-01,SBI,****7252,15828.05,DEP00000033,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
34,34,34,2025-01-01,Axis Bank,****9669,16431.0,DEP00000034,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
35,35,35,2025-01-01,HSBC,****2876,15201.84,DEP00000035,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
36,36,36,2025-01-01,HDFC Bank,****6573,17630.97,DEP00000036,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
37,37,37,2025-01-01,SBI,****3591,17698.68,DEP00000037,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
38,38,38,2025-01-01,HDFC Bank,****9201,17510.69,DEP00000038,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
39,39,39,2025-01-01,Barclays,****5889,15831.16,DEP00000039,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
40,40,40,2025-01-01,NatWest,****3504,17596.55,DEP00000040,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
41,41,41,2025-01-01,Lloyds,****9837,18478.82,DEP00000041,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
42,42,42,2025-01-01,HSBC,****6310,16907.27,DEP00000042,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
43,43,43,2025-01-01,Barclays,****6947,16570.79,DEP00000043,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
44,44,44,2025-01-01,HDFC Bank,****4923,16384.14,DEP00000044,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
45,45,45,2025-01-01,Barclays,****2403,15986.75,DEP00000045,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
46,46,46,2025-01-01,Barclays,****9727,18371.3,DEP00000046,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
47,47,47,2025-01-01,Lloyds,****8787,16181.4,DEP00000047,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
48,48,48,2025-01-01,Lloyds,****5342,14411.93,DEP00000048,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
49,49,49,2025-01-01,SBI,****4470,16381.22,DEP00000049,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
50,50,50,2025-01-01,NatWest,****6107,17393.07,DEP00000050,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
51,51,51,2025-01-01,ICICI Bank,****8177,15297.32,DEP00000051,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
52,52,52,2025-01-01,Axis Bank,****2982,17787.71,DEP00000052,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
53,53,53,2025-01-01,Barclays,****6539,16887.43,DEP00000053,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
54,54,54,2025-01-01,NatWest,****4608,17952.19,DEP00000054,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
55,55,55,2025-01-01,HSBC,****4750,15182.15,DEP00000055,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
56,56,56,2025-01-01,HSBC,****6413,15977.5,DEP00000056,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
57,57,57,2025-01-01,NatWest,****5562,14896.66,DEP00000057,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
58,58,58,2025-01-01,NatWest,****9834,16334.27,DEP00000058,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
59,59,59,2025-01-01,Axis Bank,****4981,17595.91,DEP00000059,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
60,60,60,2025-01-01,SBI,****4119,16916.56,DEP00000060,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
61,61,61,2025-01-01,SBI,****6804,18834.81,DEP00000061,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
62,62,62,2025-01-01,Axis Bank,****1887,17619.65,DEP00000062,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
63,63,63,2025-01-01,Barclays,****1993,16794.16,DEP00000063,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
64,64,64,2025-01-01,ICICI Bank,****2790,15277.0,DEP00000064,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
65,1,65,2025-01-02,NatWest,****9786,19240.64,DEP00000065,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
66,2,66,2025-01-02,SBI,****4006,17155.29,DEP00000066,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
67,3,67,2025-01-02,NatWest,****2235,17522.13,DEP00000067,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
68,4,68,2025-01-02,Barclays,****1828,18795.46,DEP00000068,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
69,5,69,2025-01-02,HSBC,****2528,17717.78,DEP00000069,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
70,6,70,2025-01-02,NatWest,****3724,16442.43,DEP00000070,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
71,7,71,2025-01-02,Axis Bank,****4502,16032.3,DEP00000071,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
72,8,72,2025-01-02,HSBC,****3697,17225.88,DEP00000072,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
73,9,73,2025-01-02,SBI,****5345,19256.61,DEP00000073,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
74,10,74,2025-01-02,Axis Bank,****5673,16654.94,DEP00000074,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
75,11,75,2025-01-02,Axis Bank,****3536,17126.24,DEP00000075,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
76,12,76,2025-01-02,NatWest,****1958,15813.01,DEP00000076,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
77,13,77,2025-01-02,HSBC,****6138,17491.11,DEP00000077,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
78,14,78,2025-01-02,Axis Bank,****9238,16932.82,DEP00000078,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
79,15,79,2025-01-02,Lloyds,****1931,18854.92,DEP00000079,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
80,16,80,2025-01-02,Barclays,****4044,15953.26,DEP00000080,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
81,17,81,2025-01-02,Barclays,****4853,17174.07,DEP00000081,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
82,18,82,2025-01-02,NatWest,****1651,20943.87,DEP00000082,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
83,19,83,2025-01-02,SBI,****9565,17708.18,DEP00000083,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
84,20,84,2025-01-02,HDFC Bank,****4346,19272.7,DEP00000084,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
85,21,85,2025-01-02,ICICI Bank,****4910,18154.87,DEP00000085,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
86,22,86,2025-01-02,Lloyds,****5915,14023.9,DEP00000086,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
87,23,87,2025-01-02,Barclays,****1152,14550.28,DEP00000087,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
88,24,88,2025-01-02,Barclays,****2200,15510.43,DEP00000088,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
89,25,89,2025-01-02,HDFC Bank,****3170,15831.8,DEP00000089,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
90,26,90,2025-01-02,Barclays,****5002,17110.55,DEP00000090,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
91,27,91,2025-01-02,Lloyds,****8179,16390.17,DEP00000091,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
92,28,92,2025-01-02,HDFC Bank,****9666,16899.93,DEP00000092,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
93,29,93,2025-01-02,HDFC Bank,****2697,15123.48,DEP00000093,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
94,30,94,2025-01-02,Lloyds,****5333,15200.7,DEP00000094,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
95,31,95,2025-01-02,Barclays,****3546,16704.63,DEP00000095,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
96,32,96,2025-01-02,NatWest,****6617,16714.54,DEP00000096,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
97,33,97,2025-01-02,HDFC Bank,****9280,15831.97,DEP00000097,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
98,34,98,2025-01-02,HSBC,****2512,16432.07,DEP00000098,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
99,35,99,2025-01-02,HDFC Bank,****1722,15198.01,DEP00000099,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
100,36,100,2025-01-02,Lloyds,****5291,17637.75,DEP00000100,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
101,37,101,2025-01-02,Axis Bank,****8007,17698.18,DEP00000101,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
102,38,102,2025-01-02,Barclays,****2232,17509.62,DEP00000102,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
103,39,103,2025-01-02,Lloyds,****9938,15829.33,DEP00000103,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
104,40,104,2025-01-02,ICICI Bank,****3426,17604.61,DEP00000104,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
105,41,105,2025-01-02,HSBC,****6050,18478.26,DEP00000105,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
106,42,106,2025-01-02,HSBC,****6862,16913.15,DEP00000106,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
107,43,107,2025-01-02,NatWest,****2684,16573.58,DEP00000107,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
108,44,108,2025-01-02,SBI,****3532,16389.39,DEP00000108,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
109,45,109,2025-01-02,NatWest,****3662,15978.07,DEP00000109,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
110,46,110,2025-01-02,Lloyds,****7755,18368.86,DEP00000110,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
111,47,111,2025-01-02,ICICI Bank,****7745,16188.81,DEP00000111,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
112,48,112,2025-01-02,NatWest,****5371,14413.38,DEP00000112,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
113,49,113,2025-01-02,Barclays,****7267,16384.91,DEP00000113,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
114,50,114,2025-01-02,Axis Bank,****4644,17393.64,DEP00000114,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
115,51,115,2025-01-02,Axis Bank,****6728,15299.31,DEP00000115,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
116,52,116,2025-01-02,NatWest,****4652,17793.66,DEP00000116,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
117,53,117,2025-01-02,NatWest,****7528,16889.67,DEP00000117,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
118,54,118,2025-01-02,Barclays,****5573,17949.12,DEP00000118,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
119,55,119,2025-01-02,SBI,****9785,15178.71,DEP00000119,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
120,56,120,2025-01-02,HSBC,****2889,15974.86,DEP00000120,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
121,57,121,2025-01-02,HDFC Bank,****3925,14888.6,DEP00000121,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
122,58,122,2025-01-02,HDFC Bank,****1626,16335.15,DEP00000122,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
123,59,123,2025-01-02,SBI,****6663,17596.15,DEP00000123,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
124,60,124,2025-01-02,ICICI Bank,****8149,16917.12,DEP00000124,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
125,61,125,2025-01-02,Barclays,****7311,18829.69,DEP00000125,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
126,62,126,2025-01-02,NatWest,****5173,17614.89,DEP00000126,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
127,63,127,2025-01-02,SBI,****1027,16800.45,DEP00000127,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
128,64,128,2025-01-02,NatWest,****6967,15275.83,DEP00000128,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
129,1,129,2025-01-03,ICICI Bank,****6143,19238.82,DEP00000129,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
130,2,130,2025-01-03,Barclays,****5920,17153.15,DEP00000130,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
131,3,131,2025-01-03,SBI,****6344,17519.85,DEP00000131,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
132,4,132,2025-01-03,HDFC Bank,****3085,18795.87,DEP00000132,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
133,5,133,2025-01-03,SBI,****3851,17722.38,DEP00000133,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
134,6,134,2025-01-03,HDFC Bank,****7653,16445.53,DEP00000134,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
135,7,135,2025-01-03,HSBC,****5978,16030.88,DEP00000135,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
136,8,136,2025-01-03,SBI,****6279,17231.66,DEP00000136,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
137,9,137,2025-01-03,Axis Bank,****4501,19255.75,DEP00000137,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
138,10,138,2025-01-03,Lloyds,****2389,16659.1,DEP00000138,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
139,11,139,2025-01-03,ICICI Bank,****2530,17127.63,DEP00000139,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
140,12,140,2025-01-03,NatWest,****6085,15806.73,DEP00000140,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
141,13,141,2025-01-03,NatWest,****3414,17494.65,DEP00000141,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
142,14,142,2025-01-03,NatWest,****8784,16933.15,DEP00000142,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
143,15,143,2025-01-03,Barclays,****8461,18858.0,DEP00000143,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
144,16,144,2025-01-03,NatWest,****7291,15958.73,DEP00000144,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
145,17,145,2025-01-03,NatWest,****3417,17169.82,DEP00000145,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
146,18,146,2025-01-03,HSBC,****2746,20941.35,DEP00000146,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
147,19,147,2025-01-03,NatWest,****3881,17706.59,DEP00000147,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
148,20,148,2025-01-03,Axis Bank,****1822,19267.82,DEP00000148,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
149,21,149,2025-01-03,Barclays,****8478,18156.0,DEP00000149,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
150,22,150,2025-01-03,Axis Bank,****9702,14025.23,DEP00000150,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
151,23,151,2025-01-03,ICICI Bank,****8251,14544.97,DEP00000151,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
152,24,152,2025-01-03,SBI,****9976,15508.88,DEP00000152,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
153,25,153,2025-01-03,Lloyds,****8777,15832.72,DEP00000153,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
154,26,154,2025-01-03,NatWest,****5543,17115.38,DEP00000154,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
155,27,155,2025-01-03,Axis Bank,****4919,16386.21,DEP00000155,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
156,28,156,2025-01-03,Barclays,****5681,16905.52,DEP00000156,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
157,29,157,2025-01-03,ICICI Bank,****6238,15121.22,DEP00000157,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
158,30,158,2025-01-03,Barclays,****3267,15201.16,DEP00000158,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
159,31,159,2025-01-03,SBI,****3503,16704.27,DEP00000159,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
160,32,160,2025-01-03,Barclays,****7797,16710.2,DEP00000160,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
161,33,161,2025-01-03,Axis Bank,****7812,15829.93,DEP00000161,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
162,34,162,2025-01-03,SBI,****7381,16436.34,DEP00000162,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
163,35,163,2025-01-03,HSBC,****7232,15195.3,DEP00000163,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
164,36,164,2025-01-03,ICICI Bank,****5892,17633.02,DEP00000164,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
165,37,165,2025-01-03,SBI,****9818,17692.27,DEP00000165,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
166,38,166,2025-01-03,NatWest,****8999,17507.75,DEP00000166,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
167,39,167,2025-01-03,SBI,****8956,15836.59,DEP00000167,Deposited,2026-06-18 13:27:28.934363,2026-06-18 13:27:28.934363
168,40,168,2025-01-03,ICICI Bank,****7624,17604.68,DEP00000168,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
169,41,169,2025-01-03,Axis Bank,****3091,18475.32,DEP00000169,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
170,42,170,2025-01-03,HSBC,****7455,16906.99,DEP00000170,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
171,43,171,2025-01-03,HSBC,****2375,16569.76,DEP00000171,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
172,44,172,2025-01-03,Lloyds,****8564,16386.5,DEP00000172,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
173,45,173,2025-01-03,HDFC Bank,****7211,15985.51,DEP00000173,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
174,46,174,2025-01-03,Axis Bank,****6355,18375.35,DEP00000174,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
175,47,175,2025-01-03,SBI,****5558,16185.68,DEP00000175,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
176,48,176,2025-01-03,SBI,****5133,14413.88,DEP00000176,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
177,49,177,2025-01-03,Axis Bank,****1317,16378.15,DEP00000177,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
178,50,178,2025-01-03,HSBC,****6733,17394.87,DEP00000178,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
179,51,179,2025-01-03,Barclays,****1659,15299.07,DEP00000179,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
180,52,180,2025-01-03,NatWest,****4266,17789.17,DEP00000180,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
181,53,181,2025-01-03,Lloyds,****4908,16881.52,DEP00000181,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
182,54,182,2025-01-03,Barclays,****4571,17951.14,DEP00000182,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
183,55,183,2025-01-03,HDFC Bank,****7043,15177.57,DEP00000183,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
184,56,184,2025-01-03,Barclays,****3683,15976.49,DEP00000184,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
185,57,185,2025-01-03,Barclays,****1420,14887.72,DEP00000185,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
186,58,186,2025-01-03,SBI,****7498,16331.67,DEP00000186,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
187,59,187,2025-01-03,NatWest,****2245,17587.82,DEP00000187,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
188,60,188,2025-01-03,NatWest,****2669,16918.49,DEP00000188,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
189,61,189,2025-01-03,HDFC Bank,****2983,18828.78,DEP00000189,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
190,62,190,2025-01-03,HSBC,****6688,17615.93,DEP00000190,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
191,63,191,2025-01-03,ICICI Bank,****2129,16795.56,DEP00000191,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
192,64,192,2025-01-03,ICICI Bank,****1207,15275.97,DEP00000192,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
193,1,193,2025-01-04,Axis Bank,****2729,19234.63,DEP00000193,Deposited,2026-06-18 13:27:28.936368,2026-06-18 13:27:28.936368
