id,restaurant_id,user_id,business_date,opening_cash,cash_sales,card_sales,upi_sales,online_sales,expenses,expected_cash,actual_cash,variance,status,created_at,updated_at
17,17,561,2025-01-01,544,17174.76,61056.43,22580.42,13328.73,2829.88,14888.88,14872.97,-15.91,Closed,2025-01-01,2025-01-01
18,18,606,2025-01-01,589,20947.91,60332.05,25202.7,11660.2,2714.09,18822.82,18806.69,-16.13,Closed,2025-01-01,2025-01-01
19,19,640,2025-01-01,552,17714.37,63781.7,20276.74,11317.0,6909.51,11356.86,11361.01,4.15,Closed,2025-01-01,2025-01-01
20,20,666,2025-01-01,244,19275.86,64527.13,21499.91,11266.45,7020.53,12499.33,12508.52,9.19,Closed,2025-01-01,2025-01-01
21,21,716,2025-01-01,749,18161.57,66633.91,22670.93,11851.21,5105.63,13804.94,13789.93,-15.01,Closed,2025-01-01,2025-01-01
22,22,724,2025-01-01,587,14026.56,63434.06,19762.31,9442.77,6125.17,8488.39,8471.54,-16.85,Closed,2025-01-01,2025-01-01
23,23,767,2025-01-01,500,14554.85,55806.98,18401.41,10293.55,10058.12,4996.73,5009.91,13.18,Closed,2025-01-01,2025-01-01
24,24,809,2025-01-01,833,15515.01,63348.16,23572.71,13733.64,7848.87,8499.14,8514.56,15.42,Closed,2025-01-01,2025-01-01
25,25,841,2025-01-01,570,15837.18,58664.5,21748.12,9775.39,4444.8,11962.38,11965.47,3.09,Closed,2025-01-01,2025-01-01
26,26,864,2025-01-01,921,17119.88,58671.3,21645.7,9469.68,5918.14,12122.74,12105.52,-17.22,Closed,2025-01-01,2025-01-01
27,27,898,2025-01-01,877,16393.87,58266.5,22207.01,10127.07,2710.1,14560.77,14549.89,-10.88,Closed,2025-01-01,2025-01-01
28,28,940,2025-01-01,496,16908.27,63176.97,23010.01,11110.84,7634.72,9769.55,9788.96,19.41,Closed,2025-01-01,2025-01-01
29,29,971,2025-01-01,438,15123.56,61624.94,22685.2,11725.26,5275.35,10286.21,10300.87,14.66,Closed,2025-01-01,2025-01-01
30,30,986,2025-01-01,589,15210.09,63105.92,21498.1,9477.97,2684.03,13115.06,13106.18,-8.88,Closed,2025-01-01,2025-01-01
31,31,1020,2025-01-01,850,16705.78,58255.28,22489.48,10839.83,11132.25,6423.53,6436.89,13.36,Closed,2025-01-01,2025-01-01
32,32,1067,2025-01-01,366,16717.26,62809.86,19795.04,10144.82,10939.38,6143.88,6138.69,-5.19,Closed,2025-01-01,2025-01-01
33,33,1113,2025-01-01,414,15834.01,64163.4,24008.0,10669.19,5930.23,10317.78,10324.59,6.81,Closed,2025-01-01,2025-01-01
34,34,1142,2025-01-01,918,16436.96,59388.32,22262.14,11251.04,5693.06,11661.9,11679.37,17.47,Closed,2025-01-01,2025-01-01
35,35,1158,2025-01-01,863,15204.35,60043.7,21065.9,10826.29,6736.62,9330.73,9313.59,-17.14,Closed,2025-01-01,2025-01-01
36,36,1202,2025-01-01,850,17637.79,62900.71,23687.49,12306.72,6292.02,12195.77,12182.62,-13.15,Closed,2025-01-01,2025-01-01
37,37,1252,2025-01-01,946,17699.8,59760.69,20797.38,11561.95,1504.7,17141.1,17130.89,-10.21,Closed,2025-01-01,2025-01-01
38,38,1257,2025-01-01,673,17515.23,61236.51,22713.85,11517.22,10035.57,8152.66,8147.84,-4.82,Closed,2025-01-01,2025-01-01
39,39,1287,2025-01-01,855,15838.78,60521.49,21794.24,10062.61,16331.58,362.2,369.73,7.53,Closed,2025-01-01,2025-01-01
40,40,1331,2025-01-01,424,17604.97,64921.92,24604.24,11837.27,9017.56,9011.41,9018.79,7.38,Closed,2025-01-01,2025-01-01
41,41,1375,2025-01-01,986,18482.56,63228.99,21966.22,9999.95,12233.6,7234.96,7246.0,11.04,Closed,2025-01-01,2025-01-01
42,42,1413,2025-01-01,434,16916.8,63831.72,23614.14,9074.86,7337.54,10013.26,10026.13,12.87,Closed,2025-01-01,2025-01-01
43,43,1425,2025-01-01,523,16575.68,58318.95,20972.7,11090.11,9189.97,7908.71,7904.76,-3.95,Closed,2025-01-01,2025-01-01
44,44,1473,2025-01-01,267,16392.93,63354.41,21778.52,10886.65,11444.71,5215.22,5203.66,-11.56,Closed,2025-01-01,2025-01-01
45,45,1491,2025-01-01,780,15987.33,61951.56,21940.59,11067.3,6614.39,10152.94,10167.99,15.05,Closed,2025-01-01,2025-01-01
46,46,1532,2025-01-01,522,18378.62,59163.53,19042.3,11407.28,2213.79,16686.83,16675.34,-11.49,Closed,2025-01-01,2025-01-01
47,47,1570,2025-01-01,711,16189.06,61226.11,20501.23,11431.22,2039.67,14860.39,14856.22,-4.17,Closed,2025-01-01,2025-01-01
48,48,1604,2025-01-01,858,14421.4,57416.83,23610.34,11230.05,6564.8,8714.6,8712.95,-1.65,Closed,2025-01-01,2025-01-01
49,49,1619,2025-01-01,471,16386.5,59132.91,20401.33,10243.51,1709.56,15147.94,15133.53,-14.41,Closed,2025-01-01,2025-01-01
50,50,1671,2025-01-01,962,17402.36,63307.09,21412.77,11561.73,10974.13,7390.23,7392.68,2.45,Closed,2025-01-01,2025-01-01
51,51,1720,2025-01-01,469,15301.31,57680.34,19884.75,9031.61,1692.59,14077.72,14087.6,9.88,Closed,2025-01-01,2025-01-01
52,52,1731,2025-01-01,638,17796.71,56657.9,22147.4,9876.52,8588.14,9846.57,9862.48,15.91,Closed,2025-01-01,2025-01-01
53,53,1795,2025-01-01,608,16889.91,64338.4,22737.52,12432.41,1715.83,15782.08,15776.56,-5.52,Closed,2025-01-01,2025-01-01
54,54,1818,2025-01-01,341,17952.4,63434.21,23421.87,10168.12,8978.12,9315.28,9315.66,0.38,Closed,2025-01-01,2025-01-01
55,55,1837,2025-01-01,293,15182.22,58670.06,25674.65,12304.88,2262.85,13212.37,13222.6,10.23,Closed,2025-01-01,2025-01-01
56,56,1873,2025-01-01,312,15978.17,58262.3,23081.03,11792.12,7086.83,9203.34,9189.45,-13.89,Closed,2025-01-01,2025-01-01
57,57,1931,2025-01-01,363,14897.37,63717.27,20569.35,11977.61,3253.79,12006.58,12018.26,11.68,Closed,2025-01-01,2025-01-01
58,58,1954,2025-01-01,632,16340.96,62590.15,22276.16,11176.86,9970.56,7002.4,7006.26,3.86,Closed,2025-01-01,2025-01-01
59,59,2013,2025-01-01,594,17597.23,62843.65,25393.4,10507.0,16549.33,1641.9,1637.16,-4.74,Closed,2025-01-01,2025-01-01
60,60,2039,2025-01-01,679,16924.41,64335.1,23101.6,12313.25,9622.89,7980.52,7981.68,1.16,Closed,2025-01-01,2025-01-01
61,61,2045,2025-01-01,766,18835.75,61638.58,23285.7,12265.6,1754.87,17846.88,17861.31,14.43,Closed,2025-01-01,2025-01-01
62,62,2105,2025-01-01,211,17623.89,62755.01,22563.22,12657.56,1459.1,16375.79,16383.0,7.21,Closed,2025-01-01,2025-01-01
63,63,2123,2025-01-01,317,16800.89,65662.0,22059.6,11315.75,8081.12,9036.77,9044.04,7.27,Closed,2025-01-01,2025-01-01
64,64,2182,2025-01-01,749,15281.03,60484.14,23372.15,10040.41,2356.33,13673.7,13683.74,10.04,Closed,2025-01-01,2025-01-01
65,1,15,2025-01-02,987,19243.13,63113.22,22259.15,11546.48,5448.1,14782.03,14787.67,5.64,Closed,2025-01-02,2025-01-02
66,2,34,2025-01-02,314,17159.78,59975.27,19466.13,11583.39,16584.22,889.56,881.3,-8.26,Closed,2025-01-02,2025-01-02
67,3,99,2025-01-02,361,17524.92,64148.04,21967.22,11634.25,4242.16,13643.76,13641.91,-1.85,Closed,2025-01-02,2025-01-02
68,4,113,2025-01-02,939,18799.89,62075.86,21470.89,12322.86,5513.14,14225.75,14240.78,15.03,Closed,2025-01-02,2025-01-02
69,5,157,2025-01-02,469,17724.3,66957.25,22346.04,11067.79,16713.4,1479.9,1498.78,18.88,Closed,2025-01-02,2025-01-02
70,6,190,2025-01-02,980,16451.69,65076.75,26335.18,12052.16,743.8,16687.89,16675.04,-12.85,Closed,2025-01-02,2025-01-02
71,7,215,2025-01-02,308,16036.36,60924.08,20225.87,12493.74,3282.29,13062.07,13076.89,14.82,Closed,2025-01-02,2025-01-02
72,8,276,2025-01-02,505,17234.53,63667.2,22454.02,11505.62,1421.96,16317.57,16331.24,13.67,Closed,2025-01-02,2025-01-02
73,9,295,2025-01-02,719,19260.4,63694.88,26863.42,11130.91,9310.18,10669.22,10673.58,4.36,Closed,2025-01-02,2025-01-02
74,10,334,2025-01-02,356,16664.21,57998.38,24492.69,11582.61,9138.96,7881.25,7876.21,-5.04,Closed,2025-01-02,2025-01-02
75,11,392,2025-01-02,365,17130.47,61218.31,22687.42,10751.37,3062.56,14432.91,14434.49,1.58,Closed,2025-01-02,2025-01-02
76,12,402,2025-01-02,997,15814.91,58181.66,21594.43,13195.73,14377.92,2433.99,2450.89,16.9,Closed,2025-01-02,2025-01-02
77,13,427,2025-01-02,200,17496.9,58966.94,19683.6,11537.03,2853.95,14842.95,14846.91,3.96,Closed,2025-01-02,2025-01-02
78,14,457,2025-01-02,700,16933.39,58039.91,21206.25,13218.92,5178.34,12455.05,12435.83,-19.22,Closed,2025-01-02,2025-01-02
79,15,498,2025-01-02,571,18864.11,63795.09,22782.31,11784.99,11506.06,7929.05,7944.2,15.15,Closed,2025-01-02,2025-01-02
80,16,543,2025-01-02,514,15962.87,58757.55,22099.86,10394.64,8066.56,8410.31,8399.89,-10.42,Closed,2025-01-02,2025-01-02
81,17,556,2025-01-02,446,17174.76,61056.43,22580.42,13328.73,5201.48,12419.28,12434.4,15.12,Closed,2025-01-02,2025-01-02
82,18,591,2025-01-02,280,20947.91,60332.05,25202.7,11660.2,5098.22,16129.69,16113.12,-16.57,Closed,2025-01-02,2025-01-02
83,19,635,2025-01-02,697,17714.37,63781.7,20276.74,11317.0,2038.23,16373.14,16385.78,12.64,Closed,2025-01-02,2025-01-02
84,20,651,2025-01-02,978,19275.86,64527.13,21499.91,11266.45,3264.66,16989.2,16990.51,1.31,Closed,2025-01-02,2025-01-02
85,21,716,2025-01-02,328,18161.57,66633.91,22670.93,11851.21,12776.51,5713.06,5698.2,-14.86,Closed,2025-01-02,2025-01-02
86,22,729,2025-01-02,686,14026.56,63434.06,19762.31,9442.77,8375.04,6337.52,6355.39,17.87,Closed,2025-01-02,2025-01-02
87,23,762,2025-01-02,369,14554.85,55806.98,18401.41,10293.55,9214.99,5708.86,5699.46,-9.4,Closed,2025-01-02,2025-01-02
88,24,797,2025-01-02,821,15515.01,63348.16,23572.71,13733.64,6237.04,10098.97,10095.9,-3.07,Closed,2025-01-02,2025-01-02
89,25,826,2025-01-02,416,15837.18,58664.5,21748.12,9775.39,6757.02,9496.16,9513.32,17.16,Closed,2025-01-02,2025-01-02
90,26,873,2025-01-02,973,17119.88,58671.3,21645.7,9469.68,12010.78,6082.1,6091.3,9.2,Closed,2025-01-02,2025-01-02
91,27,924,2025-01-02,405,16393.87,58266.5,22207.01,10127.07,8212.74,8586.13,8594.65,8.52,Closed,2025-01-02,2025-01-02
92,28,936,2025-01-02,608,16908.27,63176.97,23010.01,11110.84,6753.92,10762.35,10782.16,19.81,Closed,2025-01-02,2025-01-02
93,29,962,2025-01-02,865,15123.56,61624.94,22685.2,11725.26,3736.6,12251.96,12246.9,-5.06,Closed,2025-01-02,2025-01-02
94,30,1006,2025-01-02,729,15210.09,63105.92,21498.1,9477.97,8100.67,7838.42,7836.48,-1.94,Closed,2025-01-02,2025-01-02
95,31,1037,2025-01-02,453,16705.78,58255.28,22489.48,10839.83,3095.88,14062.9,14051.89,-11.01,Closed,2025-01-02,2025-01-02
96,32,1065,2025-01-02,546,16717.26,62809.86,19795.04,10144.82,8395.46,8867.8,8848.64,-19.16,Closed,2025-01-02,2025-01-02
97,33,1100,2025-01-02,767,15834.01,64163.4,24008.0,10669.19,6380.85,10220.16,10209.36,-10.8,Closed,2025-01-02,2025-01-02
98,34,1146,2025-01-02,425,16436.96,59388.32,22262.14,11251.04,5509.8,11352.16,11332.45,-19.71,Closed,2025-01-02,2025-01-02
99,35,1173,2025-01-02,924,15204.35,60043.7,21065.9,10826.29,3380.23,12748.12,12753.36,5.24,Closed,2025-01-02,2025-01-02
100,36,1201,2025-01-02,434,17637.79,62900.71,23687.49,12306.72,3087.15,14984.64,14967.34,-17.3,Closed,2025-01-02,2025-01-02
101,37,1211,2025-01-02,232,17699.8,59760.69,20797.38,11561.95,1980.01,15951.79,15966.18,14.39,Closed,2025-01-02,2025-01-02
102,38,1269,2025-01-02,272,17515.23,61236.51,22713.85,11517.22,12501.94,5285.29,5285.86,0.57,Closed,2025-01-02,2025-01-02
103,39,1299,2025-01-02,485,15838.78,60521.49,21794.24,10062.61,6671.76,9652.02,9658.78,6.76,Closed,2025-01-02,2025-01-02
104,40,1346,2025-01-02,419,17604.97,64921.92,24604.24,11837.27,4678.63,13345.34,13346.91,1.57,Closed,2025-01-02,2025-01-02
105,41,1353,2025-01-02,940,18482.56,63228.99,21966.22,9999.95,6319.93,13102.63,13120.05,17.42,Closed,2025-01-02,2025-01-02
106,42,1391,2025-01-02,784,16916.8,63831.72,23614.14,9074.86,10594.11,7106.69,7109.74,3.05,Closed,2025-01-02,2025-01-02
107,43,1434,2025-01-02,448,16575.68,58318.95,20972.7,11090.11,3204.22,13819.46,13830.84,11.38,Closed,2025-01-02,2025-01-02
108,44,1467,2025-01-02,616,16392.93,63354.41,21778.52,10886.65,1092.18,15916.75,15904.37,-12.38,Closed,2025-01-02,2025-01-02
109,45,1490,2025-01-02,299,15987.33,61951.56,21940.59,11067.3,15425.15,861.18,867.54,6.36,Closed,2025-01-02,2025-01-02
110,46,1517,2025-01-02,562,18378.62,59163.53,19042.3,11407.28,14994.97,3945.65,3942.59,-3.06,Closed,2025-01-02,2025-01-02
111,47,1563,2025-01-02,678,16189.06,61226.11,20501.23,11431.22,9727.27,7139.79,7154.34,14.55,Closed,2025-01-02,2025-01-02
112,48,1590,2025-01-02,255,14421.4,57416.83,23610.34,11230.05,8243.35,6433.05,6439.98,6.93,Closed,2025-01-02,2025-01-02
113,49,1638,2025-01-02,861,16386.5,59132.91,20401.33,10243.51,909.87,16337.63,16321.57,-16.06,Closed,2025-01-02,2025-01-02
114,50,1654,2025-01-02,612,17402.36,63307.09,21412.77,11561.73,12175.75,5838.61,5847.74,9.13,Closed,2025-01-02,2025-01-02
115,51,1718,2025-01-02,311,15301.31,57680.34,19884.75,9031.61,10375.99,5236.32,5226.27,-10.05,Closed,2025-01-02,2025-01-02
116,52,1751,2025-01-02,394,17796.71,56657.9,22147.4,9876.52,4658.02,13532.69,13534.14,1.45,Closed,2025-01-02,2025-01-02
117,53,1767,2025-01-02,343,16889.91,64338.4,22737.52,12432.41,12734.77,4498.14,4495.02,-3.12,Closed,2025-01-02,2025-01-02
118,54,1808,2025-01-02,485,17952.4,63434.21,23421.87,10168.12,13755.39,4682.01,4680.52,-1.49,Closed,2025-01-02,2025-01-02
119,55,1837,2025-01-02,277,15182.22,58670.06,25674.65,12304.88,5077.97,10381.25,10378.98,-2.27,Closed,2025-01-02,2025-01-02
120,56,1881,2025-01-02,763,15978.17,58262.3,23081.03,11792.12,14668.28,2072.89,2056.81,-16.08,Closed,2025-01-02,2025-01-02
121,57,1927,2025-01-02,867,14897.37,63717.27,20569.35,11977.61,4028.73,11735.64,11755.61,19.97,Closed,2025-01-02,2025-01-02
122,58,1952,2025-01-02,215,16340.96,62590.15,22276.16,11176.86,15810.96,745.0,763.76,18.76,Closed,2025-01-02,2025-01-02
123,59,1997,2025-01-02,971,17597.23,62843.65,25393.4,10507.0,10315.52,8252.71,8266.66,13.95,Closed,2025-01-02,2025-01-02
124,60,2017,2025-01-02,370,16924.41,64335.1,23101.6,12313.25,11026.91,6267.5,6263.76,-3.74,Closed,2025-01-02,2025-01-02
125,61,2055,2025-01-02,692,18835.75,61638.58,23285.7,12265.6,12123.7,7404.05,7392.6,-11.45,Closed,2025-01-02,2025-01-02
126,62,2083,2025-01-02,610,17623.89,62755.01,22563.22,12657.56,6570.23,11663.66,11679.76,16.1,Closed,2025-01-02,2025-01-02
127,63,2126,2025-01-02,368,16800.89,65662.0,22059.6,11315.75,10896.54,6272.35,6267.51,-4.84,Closed,2025-01-02,2025-01-02
128,64,2161,2025-01-02,599,15281.03,60484.14,23372.15,10040.41,12800.68,3079.35,3069.96,-9.39,Closed,2025-01-02,2025-01-02
129,1,19,2025-01-03,665,19243.13,63113.22,22259.15,11546.48,2997.26,16910.87,16902.28,-8.59,Closed,2025-01-03,2025-01-03
130,2,45,2025-01-03,913,17159.78,59975.27,19466.13,11583.39,6218.86,11853.92,11872.21,18.29,Closed,2025-01-03,2025-01-03
131,3,79,2025-01-03,769,17524.92,64148.04,21967.22,11634.25,9230.48,9063.44,9069.91,6.47,Closed,2025-01-03,2025-01-03
132,4,121,2025-01-03,698,18799.89,62075.86,21470.89,12322.86,4169.25,15328.64,15314.83,-13.81,Closed,2025-01-03,2025-01-03
133,5,149,2025-01-03,503,17724.3,66957.25,22346.04,11067.79,9858.48,8368.82,8357.53,-11.29,Closed,2025-01-03,2025-01-03
134,6,198,2025-01-03,259,16451.69,65076.75,26335.18,12052.16,3414.68,13296.01,13299.18,3.17,Closed,2025-01-03,2025-01-03
135,7,214,2025-01-03,755,16036.36,60924.08,20225.87,12493.74,16049.85,741.51,723.95,-17.56,Closed,2025-01-03,2025-01-03
136,8,270,2025-01-03,521,17234.53,63667.2,22454.02,11505.62,20509.42,-2753.89,-2771.6,-17.71,Closed,2025-01-03,2025-01-03
137,9,304,2025-01-03,798,19260.4,63694.88,26863.42,11130.91,4865.38,15193.02,15192.09,-0.93,Closed,2025-01-03,2025-01-03
138,10,321,2025-01-03,743,16664.21,57998.38,24492.69,11582.61,558.31,16848.9,16835.2,-13.7,Closed,2025-01-03,2025-01-03
139,11,353,2025-01-03,720,17130.47,61218.31,22687.42,10751.37,6753.25,11097.22,11080.42,-16.8,Closed,2025-01-03,2025-01-03
140,12,394,2025-01-03,390,15814.91,58181.66,21594.43,13195.73,668.82,15536.09,15518.83,-17.26,Closed,2025-01-03,2025-01-03
141,13,438,2025-01-03,269,17496.9,58966.94,19683.6,11537.03,7228.75,10537.15,10544.16,7.01,Closed,2025-01-03,2025-01-03
142,14,475,2025-01-03,440,16933.39,58039.91,21206.25,13218.92,6904.43,10468.96,10465.11,-3.85,Closed,2025-01-03,2025-01-03
143,15,495,2025-01-03,783,18864.11,63795.09,22782.31,11784.99,2781.72,16865.39,16855.24,-10.15,Closed,2025-01-03,2025-01-03
144,16,530,2025-01-03,808,15962.87,58757.55,22099.86,10394.64,7484.85,9286.02,9267.61,-18.41,Closed,2025-01-03,2025-01-03
145,17,560,2025-01-03,283,17174.76,61056.43,22580.42,13328.73,6653.95,10803.81,10800.58,-3.23,Closed,2025-01-03,2025-01-03
146,18,592,2025-01-03,797,20947.91,60332.05,25202.7,11660.2,1707.64,20037.27,20039.88,2.61,Closed,2025-01-03,2025-01-03
147,19,637,2025-01-03,523,17714.37,63781.7,20276.74,11317.0,4308.25,13929.12,13946.51,17.39,Closed,2025-01-03,2025-01-03
148,20,673,2025-01-03,409,19275.86,64527.13,21499.91,11266.45,4087.36,15597.5,15604.29,6.79,Closed,2025-01-03,2025-01-03
149,21,679,2025-01-03,521,18161.57,66633.91,22670.93,11851.21,11009.42,7673.15,7662.7,-10.45,Closed,2025-01-03,2025-01-03
150,22,730,2025-01-03,605,14026.56,63434.06,19762.31,9442.77,4369.38,10262.18,10247.42,-14.76,Closed,2025-01-03,2025-01-03
151,23,778,2025-01-03,860,14554.85,55806.98,18401.41,10293.55,3115.19,12299.66,12291.66,-8.0,Closed,2025-01-03,2025-01-03
152,24,796,2025-01-03,523,15515.01,63348.16,23572.71,13733.64,10941.08,5096.93,5114.09,17.16,Closed,2025-01-03,2025-01-03
153,25,832,2025-01-03,274,15837.18,58664.5,21748.12,9775.39,3035.19,13075.99,13056.36,-19.63,Closed,2025-01-03,2025-01-03
154,26,877,2025-01-03,836,17119.88,58671.3,21645.7,9469.68,9537.02,8418.86,8438.8,19.94,Closed,2025-01-03,2025-01-03
155,27,924,2025-01-03,302,16393.87,58266.5,22207.01,10127.07,4465.39,12230.48,12213.41,-17.07,Closed,2025-01-03,2025-01-03
156,28,936,2025-01-03,418,16908.27,63176.97,23010.01,11110.84,18568.51,-1242.24,-1242.0,0.24,Closed,2025-01-03,2025-01-03
157,29,982,2025-01-03,335,15123.56,61624.94,22685.2,11725.26,3279.02,12179.54,12196.87,17.33,Closed,2025-01-03,2025-01-03
158,30,1000,2025-01-03,270,15210.09,63105.92,21498.1,9477.97,3778.92,11701.17,11716.34,15.17,Closed,2025-01-03,2025-01-03
159,31,1038,2025-01-03,578,16705.78,58255.28,22489.48,10839.83,10324.31,6959.47,6950.87,-8.6,Closed,2025-01-03,2025-01-03
160,32,1071,2025-01-03,648,16717.26,62809.86,19795.04,10144.82,6277.76,11087.5,11100.85,13.35,Closed,2025-01-03,2025-01-03
161,33,1086,2025-01-03,920,15834.01,64163.4,24008.0,10669.19,14210.61,2543.4,2535.5,-7.9,Closed,2025-01-03,2025-01-03
162,34,1130,2025-01-03,869,16436.96,59388.32,22262.14,11251.04,4117.32,13188.64,13189.8,1.16,Closed,2025-01-03,2025-01-03
163,35,1162,2025-01-03,883,15204.35,60043.7,21065.9,10826.29,11895.08,4192.27,4204.95,12.68,Closed,2025-01-03,2025-01-03
164,36,1203,2025-01-03,506,17637.79,62900.71,23687.49,12306.72,2625.96,15517.83,15535.1,17.27,Closed,2025-01-03,2025-01-03
165,37,1212,2025-01-03,306,17699.8,59760.69,20797.38,11561.95,12384.79,5621.01,5638.57,17.56,Closed,2025-01-03,2025-01-03
166,38,1276,2025-01-03,337,17515.23,61236.51,22713.85,11517.22,16857.75,994.48,985.06,-9.42,Closed,2025-01-03,2025-01-03
167,39,1292,2025-01-03,309,15838.78,60521.49,21794.24,10062.61,9092.77,7055.01,7064.71,9.7,Closed,2025-01-03,2025-01-03
168,40,1322,2025-01-03,359,17604.97,64921.92,24604.24,11837.27,2446.72,15517.25,15508.14,-9.11,Closed,2025-01-03,2025-01-03
169,41,1352,2025-01-03,819,18482.56,63228.99,21966.22,9999.95,10939.43,8362.13,8350.56,-11.57,Closed,2025-01-03,2025-01-03
170,42,1407,2025-01-03,551,16916.8,63831.72,23614.14,9074.86,8209.65,9258.15,9246.29,-11.86,Closed,2025-01-03,2025-01-03
171,43,1418,2025-01-03,849,16575.68,58318.95,20972.7,11090.11,10277.83,7146.85,7160.97,14.12,Closed,2025-01-03,2025-01-03
172,44,1473,2025-01-03,717,16392.93,63354.41,21778.52,10886.65,17605.03,-495.1,-495.56,-0.46,Closed,2025-01-03,2025-01-03
173,45,1513,2025-01-03,252,15987.33,61951.56,21940.59,11067.3,2800.3,13439.03,13422.72,-16.31,Closed,2025-01-03,2025-01-03
174,46,1531,2025-01-03,633,18378.62,59163.53,19042.3,11407.28,1688.66,17322.96,17336.13,13.17,Closed,2025-01-03,2025-01-03
175,47,1554,2025-01-03,245,16189.06,61226.11,20501.23,11431.22,7559.3,8874.76,8854.9,-19.86,Closed,2025-01-03,2025-01-03
176,48,1606,2025-01-03,989,14421.4,57416.83,23610.34,11230.05,2196.03,13214.37,13199.6,-14.77,Closed,2025-01-03,2025-01-03
177,49,1634,2025-01-03,468,16386.5,59132.91,20401.33,10243.51,15079.28,1775.22,1761.68,-13.54,Closed,2025-01-03,2025-01-03
178,50,1660,2025-01-03,652,17402.36,63307.09,21412.77,11561.73,1145.55,16908.81,16910.88,2.07,Closed,2025-01-03,2025-01-03
179,51,1720,2025-01-03,637,15301.31,57680.34,19884.75,9031.61,2609.56,13328.75,13331.19,2.44,Closed,2025-01-03,2025-01-03
180,52,1730,2025-01-03,314,17796.71,56657.9,22147.4,9876.52,14118.98,3991.73,3974.74,-16.99,Closed,2025-01-03,2025-01-03
181,53,1773,2025-01-03,907,16889.91,64338.4,22737.52,12432.41,3035.71,14761.2,14777.36,16.16,Closed,2025-01-03,2025-01-03
182,54,1807,2025-01-03,758,17952.4,63434.21,23421.87,10168.12,13788.56,4921.84,4903.28,-18.56,Closed,2025-01-03,2025-01-03
183,55,1839,2025-01-03,578,15182.22,58670.06,25674.65,12304.88,1553.07,14207.15,14210.45,3.3,Closed,2025-01-03,2025-01-03
184,56,1878,2025-01-03,351,15978.17,58262.3,23081.03,11792.12,9521.98,6807.19,6804.38,-2.81,Closed,2025-01-03,2025-01-03
185,57,1914,2025-01-03,242,14897.37,63717.27,20569.35,11977.61,5114.67,10024.7,10017.03,-7.67,Closed,2025-01-03,2025-01-03
186,58,1954,2025-01-03,240,16340.96,62590.15,22276.16,11176.86,4825.43,11755.53,11771.49,15.96,Closed,2025-01-03,2025-01-03
187,59,2001,2025-01-03,415,17597.23,62843.65,25393.4,10507.0,3342.88,14669.35,14676.63,7.28,Closed,2025-01-03,2025-01-03
188,60,2030,2025-01-03,882,16924.41,64335.1,23101.6,12313.25,6176.9,11629.51,11613.62,-15.89,Closed,2025-01-03,2025-01-03
189,61,2077,2025-01-03,998,18835.75,61638.58,23285.7,12265.6,1651.54,18182.21,18184.61,2.4,Closed,2025-01-03,2025-01-03
