id,cashup_id,note,created_by,created_at
80,39,Closing completed without issues.,1287,2026-06-18 13:25:23.307715
81,39,PDQ totals reconciled.,1287,2026-06-18 13:25:23.307715
82,40,Variance investigated.,1331,2026-06-18 13:25:23.307715
83,41,Minor cash variance observed.,1375,2026-06-18 13:25:23.307715
84,41,Cash verified successfully.,1375,2026-06-18 13:25:23.307715
85,42,Manager approved closing balance.,1413,2026-06-18 13:25:23.307715
86,43,Manager approved closing balance.,1425,2026-06-18 13:25:23.307715
87,43,Customer refund processed.,1425,2026-06-18 13:25:23.307715
88,43,Daily reconciliation completed.,1425,2026-06-18 13:25:23.307715
89,44,Customer refund processed.,1473,2026-06-18 13:25:23.307715
90,45,Daily reconciliation completed.,1491,2026-06-18 13:25:23.307715
91,45,Additional float added.,1491,2026-06-18 13:25:23.307715
92,46,Cash deposited to bank.,1532,2026-06-18 13:25:23.307715
93,46,Variance investigated.,1532,2026-06-18 13:25:23.307715
94,46,Cash verified successfully.,1532,2026-06-18 13:25:23.307715
95,47,Minor cash variance observed.,1570,2026-06-18 13:25:23.307715
96,47,Variance investigated.,1570,2026-06-18 13:25:23.307715
97,47,Cash deposited to bank.,1570,2026-06-18 13:25:23.307715
98,48,Closing completed without issues.,1604,2026-06-18 13:25:23.307715
99,48,Minor cash variance observed.,1604,2026-06-18 13:25:23.307715
100,48,Cash deposited to bank.,1604,2026-06-18 13:25:23.307715
101,49,Manager approved closing balance.,1619,2026-06-18 13:25:23.307715
102,49,Additional float added.,1619,2026-06-18 13:25:23.307715
103,50,Cash deposited to bank.,1671,2026-06-18 13:25:23.307715
104,51,Manager approved closing balance.,1720,2026-06-18 13:25:23.307715
105,51,Variance investigated.,1720,2026-06-18 13:25:23.307715
106,51,Minor cash variance observed.,1720,2026-06-18 13:25:23.307715
107,52,Cash deposited to bank.,1731,2026-06-18 13:25:23.307715
108,52,Variance investigated.,1731,2026-06-18 13:25:23.307715
109,52,Daily reconciliation completed.,1731,2026-06-18 13:25:23.307715
110,53,Manager approved closing balance.,1795,2026-06-18 13:25:23.307715
111,54,Manager approved closing balance.,1818,2026-06-18 13:25:23.307715
112,54,Variance investigated.,1818,2026-06-18 13:25:23.307715
113,55,Cash verified successfully.,1837,2026-06-18 13:25:23.307715
114,55,Daily reconciliation completed.,1837,2026-06-18 13:25:23.307715
115,55,Closing completed without issues.,1837,2026-06-18 13:25:23.307715
116,56,Cash verified successfully.,1873,2026-06-18 13:25:23.307715
117,56,Minor cash variance observed.,1873,2026-06-18 13:25:23.307715
118,57,Cash deposited to bank.,1931,2026-06-18 13:25:23.307715
119,57,PDQ totals reconciled.,1931,2026-06-18 13:25:23.307715
120,58,PDQ totals reconciled.,1954,2026-06-18 13:25:23.307715
121,59,Minor cash variance observed.,2013,2026-06-18 13:25:23.307715
122,59,Minor cash variance observed.,2013,2026-06-18 13:25:23.307715
123,59,Additional float added.,2013,2026-06-18 13:25:23.307715
124,60,Variance investigated.,2039,2026-06-18 13:25:23.307715
125,61,Manager approved closing balance.,2045,2026-06-18 13:25:23.307715
126,62,Additional float added.,2105,2026-06-18 13:25:23.307715
127,62,Variance investigated.,2105,2026-06-18 13:25:23.307715
128,62,Manager approved closing balance.,2105,2026-06-18 13:25:23.307715
129,63,Variance investigated.,2123,2026-06-18 13:25:23.307715
130,63,Daily reconciliation completed.,2123,2026-06-18 13:25:23.307715
131,64,PDQ totals reconciled.,2182,2026-06-18 13:25:23.307715
132,64,Variance investigated.,2182,2026-06-18 13:25:23.307715
133,65,PDQ totals reconciled.,15,2026-06-18 13:25:23.307715
134,65,Cash deposited to bank.,15,2026-06-18 13:25:23.307715
135,65,Customer refund processed.,15,2026-06-18 13:25:23.307715
136,66,Closing completed without issues.,34,2026-06-18 13:25:23.307715
137,66,Additional float added.,34,2026-06-18 13:25:23.307715
138,66,Variance investigated.,34,2026-06-18 13:25:23.307715
139,67,Minor cash variance observed.,99,2026-06-18 13:25:23.307715
140,67,PDQ totals reconciled.,99,2026-06-18 13:25:23.307715
141,68,Minor cash variance observed.,113,2026-06-18 13:25:23.307715
142,69,Cash verified successfully.,157,2026-06-18 13:25:23.307715
143,69,Daily reconciliation completed.,157,2026-06-18 13:25:23.307715
144,70,PDQ totals reconciled.,190,2026-06-18 13:25:23.307715
145,70,Daily reconciliation completed.,190,2026-06-18 13:25:23.307715
146,70,PDQ totals reconciled.,190,2026-06-18 13:25:23.307715
147,71,Minor cash variance observed.,215,2026-06-18 13:25:23.307715
148,72,Cash verified successfully.,276,2026-06-18 13:25:23.307715
149,72,PDQ totals reconciled.,276,2026-06-18 13:25:23.307715
150,72,Minor cash variance observed.,276,2026-06-18 13:25:23.307715
151,73,Closing completed without issues.,295,2026-06-18 13:25:23.307715
152,74,Variance investigated.,334,2026-06-18 13:25:23.307715
153,75,Cash deposited to bank.,392,2026-06-18 13:25:23.307715
154,76,Additional float added.,402,2026-06-18 13:25:23.307715
155,76,PDQ totals reconciled.,402,2026-06-18 13:25:23.307715
156,76,Variance investigated.,402,2026-06-18 13:25:23.307715
157,77,Daily reconciliation completed.,427,2026-06-18 13:25:23.307715
158,78,Additional float added.,457,2026-06-18 13:25:23.307715
159,78,PDQ totals reconciled.,457,2026-06-18 13:25:23.307715
160,78,Additional float added.,457,2026-06-18 13:25:23.307715
161,79,PDQ totals reconciled.,498,2026-06-18 13:25:23.307715
162,79,Minor cash variance observed.,498,2026-06-18 13:25:23.307715
163,80,Customer refund processed.,543,2026-06-18 13:25:23.307715
164,81,Customer refund processed.,556,2026-06-18 13:25:23.307715
165,81,Customer refund processed.,556,2026-06-18 13:25:23.307715
166,82,Cash verified successfully.,591,2026-06-18 13:25:23.307715
167,82,Minor cash variance observed.,591,2026-06-18 13:25:23.307715
168,83,Customer refund processed.,635,2026-06-18 13:25:23.307715
169,84,Closing completed without issues.,651,2026-06-18 13:25:23.307715
170,84,Minor cash variance observed.,651,2026-06-18 13:25:23.307715
171,84,PDQ totals reconciled.,651,2026-06-18 13:25:23.307715
172,85,PDQ totals reconciled.,716,2026-06-18 13:25:23.307715
173,86,Additional float added.,729,2026-06-18 13:25:23.307715
174,86,Manager approved closing balance.,729,2026-06-18 13:25:23.307715
175,86,Customer refund processed.,729,2026-06-18 13:25:23.307715
176,87,Cash deposited to bank.,762,2026-06-18 13:25:23.307715
177,88,PDQ totals reconciled.,797,2026-06-18 13:25:23.307715
178,88,Minor cash variance observed.,797,2026-06-18 13:25:23.307715
179,89,Variance investigated.,826,2026-06-18 13:25:23.307715
180,89,Minor cash variance observed.,826,2026-06-18 13:25:23.307715
181,90,Variance investigated.,873,2026-06-18 13:25:23.307715
182,91,Minor cash variance observed.,924,2026-06-18 13:25:23.307715
183,92,Manager approved closing balance.,936,2026-06-18 13:25:23.307715
184,93,Additional float added.,962,2026-06-18 13:25:23.307715
185,93,Additional float added.,962,2026-06-18 13:25:23.307715
186,94,Customer refund processed.,1006,2026-06-18 13:25:23.307715
187,95,Manager approved closing balance.,1037,2026-06-18 13:25:23.307715
188,96,Cash verified successfully.,1065,2026-06-18 13:25:23.307715
189,96,Customer refund processed.,1065,2026-06-18 13:25:23.307715
190,97,Additional float added.,1100,2026-06-18 13:25:23.307715
191,97,Cash deposited to bank.,1100,2026-06-18 13:25:23.307715
192,98,Variance investigated.,1146,2026-06-18 13:25:23.307715
193,98,Additional float added.,1146,2026-06-18 13:25:23.307715
194,99,PDQ totals reconciled.,1173,2026-06-18 13:25:23.307715
195,100,PDQ totals reconciled.,1201,2026-06-18 13:25:23.307715
196,100,Cash verified successfully.,1201,2026-06-18 13:25:23.307715
197,101,Variance investigated.,1211,2026-06-18 13:25:23.307715
198,101,Cash verified successfully.,1211,2026-06-18 13:25:23.307715
199,101,Closing completed without issues.,1211,2026-06-18 13:25:23.307715
200,102,Cash verified successfully.,1269,2026-06-18 13:25:23.307715
201,103,Additional float added.,1299,2026-06-18 13:25:23.307715
202,103,Variance investigated.,1299,2026-06-18 13:25:23.307715
203,103,Variance investigated.,1299,2026-06-18 13:25:23.307715
204,104,Cash verified successfully.,1346,2026-06-18 13:25:23.307715
205,105,Minor cash variance observed.,1353,2026-06-18 13:25:23.307715
206,105,Manager approved closing balance.,1353,2026-06-18 13:25:23.307715
207,105,Minor cash variance observed.,1353,2026-06-18 13:25:23.307715
208,106,Minor cash variance observed.,1391,2026-06-18 13:25:23.307715
209,106,PDQ totals reconciled.,1391,2026-06-18 13:25:23.307715
210,106,Customer refund processed.,1391,2026-06-18 13:25:23.307715
211,107,Daily reconciliation completed.,1434,2026-06-18 13:25:23.307715
212,108,Daily reconciliation completed.,1467,2026-06-18 13:25:23.307715
213,109,Cash verified successfully.,1490,2026-06-18 13:25:23.307715
214,109,Daily reconciliation completed.,1490,2026-06-18 13:25:23.307715
215,109,Minor cash variance observed.,1490,2026-06-18 13:25:23.307715
216,110,Daily reconciliation completed.,1517,2026-06-18 13:25:23.307715
217,110,Daily reconciliation completed.,1517,2026-06-18 13:25:23.307715
218,111,Closing completed without issues.,1563,2026-06-18 13:25:23.307715
219,111,Cash deposited to bank.,1563,2026-06-18 13:25:23.307715
220,111,PDQ totals reconciled.,1563,2026-06-18 13:25:23.307715
221,112,Closing completed without issues.,1590,2026-06-18 13:25:23.307715
222,112,PDQ totals reconciled.,1590,2026-06-18 13:25:23.307715
223,112,Cash deposited to bank.,1590,2026-06-18 13:25:23.307715
224,113,Manager approved closing balance.,1638,2026-06-18 13:25:23.307715
225,113,Cash deposited to bank.,1638,2026-06-18 13:25:23.307715
226,114,Closing completed without issues.,1654,2026-06-18 13:25:23.307715
227,114,Minor cash variance observed.,1654,2026-06-18 13:25:23.307715
228,115,Additional float added.,1718,2026-06-18 13:25:23.307715
229,116,Daily reconciliation completed.,1751,2026-06-18 13:25:23.307715
230,116,Minor cash variance observed.,1751,2026-06-18 13:25:23.307715
231,116,Minor cash variance observed.,1751,2026-06-18 13:25:23.307715
232,117,PDQ totals reconciled.,1767,2026-06-18 13:25:23.307715
233,117,Variance investigated.,1767,2026-06-18 13:25:23.307715
234,117,Cash deposited to bank.,1767,2026-06-18 13:25:23.307715
235,118,Closing completed without issues.,1808,2026-06-18 13:25:23.307715
236,119,PDQ totals reconciled.,1837,2026-06-18 13:25:23.307715
237,120,Cash deposited to bank.,1881,2026-06-18 13:25:23.307715
238,120,Manager approved closing balance.,1881,2026-06-18 13:25:23.307715
239,121,Variance investigated.,1927,2026-06-18 13:25:23.307715
240,121,Cash deposited to bank.,1927,2026-06-18 13:25:23.307715
241,122,Variance investigated.,1952,2026-06-18 13:25:23.307715
242,122,Cash verified successfully.,1952,2026-06-18 13:25:23.307715
243,122,Variance investigated.,1952,2026-06-18 13:25:23.307715
244,123,Minor cash variance observed.,1997,2026-06-18 13:25:23.307715
245,123,Manager approved closing balance.,1997,2026-06-18 13:25:23.307715
246,124,Minor cash variance observed.,2017,2026-06-18 13:25:23.307715
247,124,Minor cash variance observed.,2017,2026-06-18 13:25:23.307715
248,125,Variance investigated.,2055,2026-06-18 13:25:23.307715
249,125,Manager approved closing balance.,2055,2026-06-18 13:25:23.307715
250,125,Cash deposited to bank.,2055,2026-06-18 13:25:23.307715
251,126,Daily reconciliation completed.,2083,2026-06-18 13:25:23.307715
252,126,PDQ totals reconciled.,2083,2026-06-18 13:25:23.307715
253,127,Closing completed without issues.,2126,2026-06-18 13:25:23.307715
254,127,PDQ totals reconciled.,2126,2026-06-18 13:25:23.307715
255,127,Cash deposited to bank.,2126,2026-06-18 13:25:23.307715
256,128,Additional float added.,2161,2026-06-18 13:25:23.307715
257,128,Cash deposited to bank.,2161,2026-06-18 13:25:23.307715
258,128,Cash verified successfully.,2161,2026-06-18 13:25:23.307715
259,129,Customer refund processed.,19,2026-06-18 13:25:23.307715
260,130,Cash verified successfully.,45,2026-06-18 13:25:23.307715
261,130,Cash verified successfully.,45,2026-06-18 13:25:23.307715
262,131,Manager approved closing balance.,79,2026-06-18 13:25:23.307715
263,131,Cash deposited to bank.,79,2026-06-18 13:25:23.307715
264,132,Additional float added.,121,2026-06-18 13:25:23.307715
265,133,Customer refund processed.,149,2026-06-18 13:25:23.307715
266,133,Variance investigated.,149,2026-06-18 13:25:23.307715
267,133,Cash verified successfully.,149,2026-06-18 13:25:23.307715
268,134,Minor cash variance observed.,198,2026-06-18 13:25:23.307715
269,135,Manager approved closing balance.,214,2026-06-18 13:25:23.307715
270,135,Variance investigated.,214,2026-06-18 13:25:23.307715
271,135,Cash verified successfully.,214,2026-06-18 13:25:23.307715
272,136,Daily reconciliation completed.,270,2026-06-18 13:25:23.307715
273,136,Variance investigated.,270,2026-06-18 13:25:23.307715
274,137,Customer refund processed.,304,2026-06-18 13:25:23.307715
275,138,Cash verified successfully.,321,2026-06-18 13:25:23.307715
276,139,Closing completed without issues.,353,2026-06-18 13:25:23.307715
277,139,Cash verified successfully.,353,2026-06-18 13:25:23.307715
278,140,PDQ totals reconciled.,394,2026-06-18 13:25:23.307715
279,140,PDQ totals reconciled.,394,2026-06-18 13:25:23.307715
280,141,Minor cash variance observed.,438,2026-06-18 13:25:23.307715
281,141,Closing completed without issues.,438,2026-06-18 13:25:23.307715
282,141,Variance investigated.,438,2026-06-18 13:25:23.307715
283,142,Daily reconciliation completed.,475,2026-06-18 13:25:23.307715
284,142,Manager approved closing balance.,475,2026-06-18 13:25:23.307715
285,143,Manager approved closing balance.,495,2026-06-18 13:25:23.307715
286,144,Customer refund processed.,530,2026-06-18 13:25:23.307715
287,145,Manager approved closing balance.,560,2026-06-18 13:25:23.307715
288,146,Closing completed without issues.,592,2026-06-18 13:25:23.307715
289,146,Customer refund processed.,592,2026-06-18 13:25:23.307715
290,146,PDQ totals reconciled.,592,2026-06-18 13:25:23.307715
291,147,Manager approved closing balance.,637,2026-06-18 13:25:23.307715
292,147,Minor cash variance observed.,637,2026-06-18 13:25:23.307715
293,148,Cash verified successfully.,673,2026-06-18 13:25:23.307715
294,148,Additional float added.,673,2026-06-18 13:25:23.307715
295,149,PDQ totals reconciled.,679,2026-06-18 13:25:23.307715
296,150,Closing completed without issues.,730,2026-06-18 13:25:23.307715
297,150,Cash deposited to bank.,730,2026-06-18 13:25:23.307715
298,151,PDQ totals reconciled.,778,2026-06-18 13:25:23.307715
299,152,PDQ totals reconciled.,796,2026-06-18 13:25:23.307715
300,153,Closing completed without issues.,832,2026-06-18 13:25:23.307715
301,153,Cash deposited to bank.,832,2026-06-18 13:25:23.307715
302,154,Cash deposited to bank.,877,2026-06-18 13:25:23.307715
303,155,Variance investigated.,924,2026-06-18 13:25:23.307715
304,155,Customer refund processed.,924,2026-06-18 13:25:23.307715
305,156,Variance investigated.,936,2026-06-18 13:25:23.307715
306,156,Closing completed without issues.,936,2026-06-18 13:25:23.307715
307,156,Cash verified successfully.,936,2026-06-18 13:25:23.307715
308,157,Cash deposited to bank.,982,2026-06-18 13:25:23.307715
309,158,Daily reconciliation completed.,1000,2026-06-18 13:25:23.307715
310,159,Cash verified successfully.,1038,2026-06-18 13:25:23.307715
311,159,Minor cash variance observed.,1038,2026-06-18 13:25:23.307715
312,160,Customer refund processed.,1071,2026-06-18 13:25:23.307715
313,160,Closing completed without issues.,1071,2026-06-18 13:25:23.307715
314,160,Closing completed without issues.,1071,2026-06-18 13:25:23.307715
315,161,Daily reconciliation completed.,1086,2026-06-18 13:25:23.307715
316,161,Variance investigated.,1086,2026-06-18 13:25:23.307715
317,162,Customer refund processed.,1130,2026-06-18 13:25:23.307715
318,163,PDQ totals reconciled.,1162,2026-06-18 13:25:23.307715
319,163,Cash deposited to bank.,1162,2026-06-18 13:25:23.307715
320,163,Cash verified successfully.,1162,2026-06-18 13:25:23.307715
321,164,Customer refund processed.,1203,2026-06-18 13:25:23.307715
322,164,Cash verified successfully.,1203,2026-06-18 13:25:23.307715
323,164,Variance investigated.,1203,2026-06-18 13:25:23.307715
324,165,PDQ totals reconciled.,1212,2026-06-18 13:25:23.307715
325,165,Closing completed without issues.,1212,2026-06-18 13:25:23.307715
326,165,Customer refund processed.,1212,2026-06-18 13:25:23.307715
327,166,Closing completed without issues.,1276,2026-06-18 13:25:23.307715
328,167,Closing completed without issues.,1292,2026-06-18 13:25:23.307715
329,167,Minor cash variance observed.,1292,2026-06-18 13:25:23.307715
330,167,Cash deposited to bank.,1292,2026-06-18 13:25:23.307715
331,168,Cash deposited to bank.,1322,2026-06-18 13:25:23.307715
332,168,Customer refund processed.,1322,2026-06-18 13:25:23.307715
333,168,Closing completed without issues.,1322,2026-06-18 13:25:23.307715
334,169,Cash deposited to bank.,1352,2026-06-18 13:25:23.307715
335,169,Variance investigated.,1352,2026-06-18 13:25:23.307715
336,170,PDQ totals reconciled.,1407,2026-06-18 13:25:23.307715
337,171,Customer refund processed.,1418,2026-06-18 13:25:23.307715
338,171,Manager approved closing balance.,1418,2026-06-18 13:25:23.307715
339,172,Daily reconciliation completed.,1473,2026-06-18 13:25:23.307715
340,172,Cash deposited to bank.,1473,2026-06-18 13:25:23.307715
341,172,Customer refund processed.,1473,2026-06-18 13:25:23.307715
342,173,Cash verified successfully.,1513,2026-06-18 13:25:23.307715
343,173,Cash deposited to bank.,1513,2026-06-18 13:25:23.307715
344,173,Cash deposited to bank.,1513,2026-06-18 13:25:23.307715
345,174,Customer refund processed.,1531,2026-06-18 13:25:23.307715
346,175,Daily reconciliation completed.,1554,2026-06-18 13:25:23.307715
347,175,Closing completed without issues.,1554,2026-06-18 13:25:23.307715
348,175,Additional float added.,1554,2026-06-18 13:25:23.307715
349,176,Additional float added.,1606,2026-06-18 13:25:23.307715
350,176,PDQ totals reconciled.,1606,2026-06-18 13:25:23.307715
351,177,Additional float added.,1634,2026-06-18 13:25:23.307715
352,177,Manager approved closing balance.,1634,2026-06-18 13:25:23.307715
353,177,Minor cash variance observed.,1634,2026-06-18 13:25:23.307715
354,178,Variance investigated.,1660,2026-06-18 13:25:23.307715
355,178,Daily reconciliation completed.,1660,2026-06-18 13:25:23.307715
356,179,Minor cash variance observed.,1720,2026-06-18 13:25:23.307715
357,179,PDQ totals reconciled.,1720,2026-06-18 13:25:23.307715
358,180,Cash deposited to bank.,1730,2026-06-18 13:25:23.307715
359,180,PDQ totals reconciled.,1730,2026-06-18 13:25:23.307715
360,180,PDQ totals reconciled.,1730,2026-06-18 13:25:23.307715
361,181,Cash verified successfully.,1773,2026-06-18 13:25:23.307715
362,182,PDQ totals reconciled.,1807,2026-06-18 13:25:23.307715
363,183,Daily reconciliation completed.,1839,2026-06-18 13:25:23.307715
364,183,Minor cash variance observed.,1839,2026-06-18 13:25:23.307715
365,184,Customer refund processed.,1878,2026-06-18 13:25:23.307715
366,184,Daily reconciliation completed.,1878,2026-06-18 13:25:23.307715
367,185,Customer refund processed.,1914,2026-06-18 13:25:23.307715
368,186,Customer refund processed.,1954,2026-06-18 13:25:23.307715
369,186,PDQ totals reconciled.,1954,2026-06-18 13:25:23.307715
370,187,Cash verified successfully.,2001,2026-06-18 13:25:23.307715
371,188,Customer refund processed.,2030,2026-06-18 13:25:23.307715
372,189,Manager approved closing balance.,2077,2026-06-18 13:25:23.307715
373,190,Variance investigated.,2087,2026-06-18 13:25:23.307715
374,190,Additional float added.,2087,2026-06-18 13:25:23.307715
375,190,Cash verified successfully.,2087,2026-06-18 13:25:23.307715
376,191,PDQ totals reconciled.,2146,2026-06-18 13:25:23.307715
377,191,Minor cash variance observed.,2146,2026-06-18 13:25:23.307715
378,191,Additional float added.,2146,2026-06-18 13:25:23.307715
379,192,Additional float added.,2174,2026-06-18 13:25:23.307715
380,193,Variance investigated.,6,2026-06-18 13:25:23.307715
381,193,Variance investigated.,6,2026-06-18 13:25:23.307715
382,193,Daily reconciliation completed.,6,2026-06-18 13:25:23.307715
383,194,Additional float added.,30,2026-06-18 13:25:23.307715
384,194,Daily reconciliation completed.,30,2026-06-18 13:25:23.307715
385,195,Variance investigated.,72,2026-06-18 13:25:23.307715
386,195,Customer refund processed.,72,2026-06-18 13:25:23.307715
387,195,Variance investigated.,72,2026-06-18 13:25:23.307715
388,196,Manager approved closing balance.,119,2026-06-18 13:25:23.307715
389,196,Additional float added.,119,2026-06-18 13:25:23.307715
390,197,Cash deposited to bank.,169,2026-06-18 13:25:23.307715
391,197,PDQ totals reconciled.,169,2026-06-18 13:25:23.307715
392,198,Cash deposited to bank.,177,2026-06-18 13:25:23.307715
393,198,Variance investigated.,177,2026-06-18 13:25:23.307715
394,198,Additional float added.,177,2026-06-18 13:25:23.307715
395,199,PDQ totals reconciled.,226,2026-06-18 13:25:23.307715
396,199,Cash deposited to bank.,226,2026-06-18 13:25:23.307715
397,199,Additional float added.,226,2026-06-18 13:25:23.307715
398,200,Cash deposited to bank.,260,2026-06-18 13:25:23.307715
399,201,Cash deposited to bank.,287,2026-06-18 13:25:23.307715
400,202,Closing completed without issues.,348,2026-06-18 13:25:23.307715
401,202,Variance investigated.,348,2026-06-18 13:25:23.307715
402,203,Manager approved closing balance.,380,2026-06-18 13:25:23.307715
403,204,PDQ totals reconciled.,404,2026-06-18 13:25:23.307715
404,205,Manager approved closing balance.,446,2026-06-18 13:25:23.307715
405,205,PDQ totals reconciled.,446,2026-06-18 13:25:23.307715
406,206,Customer refund processed.,488,2026-06-18 13:25:23.307715
407,207,Closing completed without issues.,519,2026-06-18 13:25:23.307715
408,207,Variance investigated.,519,2026-06-18 13:25:23.307715
409,208,Customer refund processed.,527,2026-06-18 13:25:23.307715
410,208,Cash verified successfully.,527,2026-06-18 13:25:23.307715
411,209,Customer refund processed.,570,2026-06-18 13:25:23.307715
412,210,Daily reconciliation completed.,590,2026-06-18 13:25:23.307715
413,210,Cash verified successfully.,590,2026-06-18 13:25:23.307715
414,211,Customer refund processed.,624,2026-06-18 13:25:23.307715
415,211,Additional float added.,624,2026-06-18 13:25:23.307715
416,211,Cash verified successfully.,624,2026-06-18 13:25:23.307715
417,212,Cash deposited to bank.,665,2026-06-18 13:25:23.307715
418,212,Customer refund processed.,665,2026-06-18 13:25:23.307715
419,213,Variance investigated.,716,2026-06-18 13:25:23.307715
420,213,Variance investigated.,716,2026-06-18 13:25:23.307715
421,214,PDQ totals reconciled.,750,2026-06-18 13:25:23.307715
422,214,Additional float added.,750,2026-06-18 13:25:23.307715
423,214,PDQ totals reconciled.,750,2026-06-18 13:25:23.307715
424,215,Customer refund processed.,759,2026-06-18 13:25:23.307715
425,215,Additional float added.,759,2026-06-18 13:25:23.307715
426,216,Customer refund processed.,798,2026-06-18 13:25:23.307715
427,217,Customer refund processed.,844,2026-06-18 13:25:23.307715
